title,poem_cleaned
,"Veririm ömrümün yirmi yılını,"
,"gücümü kuvvetimi, varımı yoğumu."
,Kim alacak onları? Hiç kimse.
,Şeytan isteyecek onları benden.
,"tertemiz yüreği, iyi kalbi"
,diye çalıp öldürmemeli?
,"Alacaklar gelip gün beni,"
,"koyacaklar kutsal, karanlık toprağa."
,Gelecek ot uzanacak alacak
,güzelim yüreğimden gücümü.
,Çevirenler: A. KADİR - Asım BEZİRCİ
,
Vatan Bölünmez,
,Bilesin anam canım vatana fedadır
,Şehitlikten ulu mertebe var mıdır?
,Kanımı verdiğim al bayrağım şahidimdir
,Bilsinler Mehmedim vatan bölünmez...
,Mehmedim vatanımın dört köşesinde
,"Kanımla çizmişim sınırlarımı, silahım elimde"
,Şanlı bayrağım dalgalanır nazlı nazlı gökyüzünde
,Bilsinler Mehmedim vatan bölünmez...
,Vatanıma uzanacak elleri kökünden kırarım
,Toprağıma göz koyan hain gözleri oyarım
,"Namusumdur, şerefimdir, şeyden azizdir vatanım"
,Bilsinler Mehmedim vatan bölünmez...
,Toplandık vatan kışlasına adımız Mehmet
,"Silah, bayrak, Kur'an üzerine yemin ettik"
,"Vatan uğruna geldik, Atam buradayız emret!"
,Bilsinler Mehmediz vatan bölünmez...
,Adım Mehmet’ti yaşım yirmiydi daha
,"Vatan sevgisi, bayrak aşkı doluydu bağrımda"
,Hain pusuların kol gezdiği vatanımın dağlarında
,"Can verdim, kan verdim, şehit oldum ana"
,Bilsinler Mehmedim vatan bölünmez...
,"Hani komutanım sormuştun, kınalar diye"
,"Anamdan cevap geldi, oğlum vatana kurbansın diye"
,Geldim asker ocağına yüreğimde vatan sevgisiyle
,Karşınızdayım vatan hainleri arslanlar gibiyim işte
,Bilsinler Mehmedim vatan bölünmez...
,İşte anam geldim vatan toprağım Dağlıca’ya
,Hain kurşunu saplandı tam buradan bağrıma
,Oğlun şehit oldu anam arkamdan ağıt yakıp ağlama
,Bilsinler Mehmedim vatan bölünmez...
,
Asmıyorlar 'O' haini,
,Asmıyorlar sayını
,Eller güldü ağladım
,Deste deste dert bağladım
,Yüreğimde kor dağladım
,Vatan aşkı vatan aşkı
,Birliğini dağıttılar
,Hedef seçtim saptırdılar
,Candan sevdim soğuttular
,Vatan aşkı vatan aşkı
,Uyuyanlar uyanmıyor
,Millet cahil anlamıyor
,Milli vicdan şahlanmıyor
,Vatan aşkı vatan aşkı
,Hain dolu sağı solu
,Kalk ayağa Anadolu
,olmaktır aklın yolu
,Vatan aşkı vatan aşkı
,Kim döşüyor mayını
,Besliyorlar “o” haini
,Asmıyorlar haini
,Vatan aşkı vatan aşkı
,İmam dedik hatip dedik
,Adam sandık tamam dedik
,İyisinden nane yedik
,Vatan aşkı vatan aşkı
,Hacaloğlu soruşturur
,Yürekleri buluşturur
,Bülbül konuşturur
,Vatan aşkı vatan aşkı
,
"Bende vardır vatan sevgisi vatan kaygısı,",
,"vatan sevdası ateşi bende sönmez,"
,"Vatanın bölünme kaygısı bende gitmez,"
,"Düşmanın oyunu vatan ebedi bitmez,"
,Bende vardır vatan sevgisi vatan kaygısı.
,"Eski oyunlar aynı sahneler aynı,"
,"Tiyatro başladı başroller aynı,"
,"gün farklı görüş bombalanıyor yerle bir,"
,"Bende vardır vatan sevgisi vatan kaygısı,"
,"Dün bombaladılar ülkü ocağını,"
,"Ardından bombaladılar MHP binasını,"
,"Bugünde bombaladılar Cumhuriyet gazetesini,"
,"Bende vardır vatan sevgisi vatan kaygısı,"
,Gakkoş soruyor iyimi gidiyor?
,"Vallahi iyi gitmiyor içim gidiyor,"
,"Ülkem kaoslara gidiyor,"
,"Bende vardır vatan sevgisi vatan kaygısı,"
,"oyunları oynayanları millet biliyor,"
,"katiller milletlin sabrını sınıyor,"
,"Milli Şuura sahip herkes görüyor,"
,"Bende vardır vatan sevgisi vatan kaygısı,"
,"Milletim bırakın sağı solu olun birlikte,"
,"Bütün oyunları bozarız buluşuruz düzlükte,"
,"Vatan bir, bayrak bir, dinimiz, kıblemiz birlikte,"
,"Bende vardır vatan sevgisi vatan kaygısı,"
,"Halil derdin niye depreşti,"
,"Suat Atay toprağım, bilmeden yaramı deşti,"
,"İşte Dadaş, Gakkoş böyle söyleşti,"
,"İkimizde vardır vatan sevgisi, vatan kaygısı."
,Halil ÇOLAK
,Ankara 12 MAYIS 2006
,
Vatan Sevgisi,
,"vatan sevgisi var ya, vatan sevgisi,"
,Hiçbir şeye benzemiyor.
,Bazen ana oluyor Anadolu’da
,bazen baba ata yurdunda.
,"Ah vatan sevgisi,"
,"Hep ileride hep önde,"
,"bakarsınız yetimin,"
,bakarsınız şehidimin gözlerinde.
,"vatan sevgisi var vatan sevgisi,"
,"Ana kuzusu gibi, kınalı kuzular,"
,"yüzden ki, Sakarya’da Çanakkale’de"
,Yedi düvele karşı koydular.
,Ah vatan sevgisi
,Sevgilerin en yücesi
,Can içinde can
,"Önce Vatan, önce Vatan…"
,
......................................Önce Vatan...,
,"Sabırla besleyen, bakıp büyüten,"
,"“Önce vatan, önce vatan” diyoruz."
,"Mektebinde ilim, irfan öğreten,"
,"“Önce vatan, önce vatan” diyoruz."
,"Birleştirip bizi dirlik bulduran,"
,"Olmazları daim olur olduran,"
,"Yüreklere iman, sevda dolduran,"
,"“Önce vatan, önce vatan” diyoruz."
,"iken çoğaltıp binlerce kılan,"
,"Öksüzden, yetimden dualar alan,"
,"Tarihler Boyunca ayakta kalan,"
,"“Önce vatan, önce vatan” diyoruz."
,"Altımızda serin, sıcacık yatak,"
,"Sayesinde kuruyor bak batak,"
,"Bize ömür boyu en sağlam tutak,"
,"“Önce vatan, önce vatan” diyoruz."
,"Kimine aş, kimine ekmek olan,"
,"Kıraç topraklara su olup dolan,"
,"Çaresize türlü çareler bulan,"
,"“Önce vatan, önce vatan” diyoruz."
,"Yaylada, ovada, dağda, bayırda,"
,"Koyun kuzu güttüğümüz çayırda,"
,"İyilikte, güzellikte, hayırda,"
,"“Önce vatan, önce vatan” diyoruz."
,"Fayda yoktur vatana körlükte,"
,"bulduysak bulduk elbet hürlükte,"
,"Ana, baba, evlat, torun birlikte,"
,"“Önce vatan, önce vatan” diyoruz."
,"Vatandır bizlere kanat, can olan,"
,"Vatandır bizlere kuvvet, kan olan,"
,"Vatandır sevgisi imandan olan,"
,"“Önce vatan, önce vatan” diyoruz."
,
"O Yavrularımızın nabzı atıyordu vatan, vatan diye",
,Vatan uğruna hayatını koyan yüz yirmi çocuk
,birisi yeni açmış karda açmış birer gelincik
,Kendileri küçük olsa yavruların ideali büyük
,"Sırtında mühimmat tehlike düşman, kar soğuk"
,"Yavrularımızın nabzı atıyordu vatan, vatan diye"
,Yâd eller el süremez onun kutsal vatan toprağına
,ağırına gider düşman girince kutsal yurduna
,Vatan mevzubahis olunca bakmaz çocukluğuna
,Düşmanları hayran kalır onların mert yiğitliğine
,"Yavrularımızın nabzı atıyordu vatan, vatan diye"
,"Vatan namustur, vatan anadır kahramanlar"
,Gönüllerde vatan sevgisi mücadelesi hilal
,Hayatlarını feda ettiler hür yaşayacağı vatan
,Mermiler taşıdılar hain Ermeni’ye dur demek
,"Yavrularımızın nabzı atıyordu vatan, vatan diye"
,"Eskiden millet olarak idik bak, bugün haldeyiz"
,Garbın elinde oyuncak bazımız uyurgezer haldeyiz
,"Böyle devam ederse, gardaşım inan yarını görmeyiz"
,Şark yıldızı çocuklarımızın mirasına ihanet etmekteyiz
,"Yavrularımızın nabzı atıyordu vatan, vatan diye"
,Halil ÇOLAK 31.10.2009
,ANKARA
,
Bu Vatan Bizim,
,"Nehirler damarım, ırmaklar kanım"
,"Toprakları, ettim, kemiğim canım"
,İkimizde atalardan armağan
,Tek aşkımsın gözüm nuru vatanım
,Candan sevgilisi tüm kalbimizin
,"vatan bizimdir, vatan bizim"
,Orta Asya’lardan taştıkta geldik
,Türk’lüğün şanıyla coştukta geldik
,Nice engelleri aştıkta geldik
,Avrupa’ya ışık saçtıkta geldik
,tek sahibiyiz ülkemizin
,"vatan bizimdir, vatan bizim"
,İmparator olduk yurt yöremizde
,Adaletli olduk töremizde
,Kaç millet barındı tek gölgemizde
,"Hakim olduk üç kıta, üç denizde"
,karışta kanı şehidimizin
,"vatan bizimdir, vatan bizim"
,Millet borcumuz var şehidimize
,vatan onlardan emanet bize
,"Sevgiyle bağlansak, birbirimize"
,"Vatan aşkı doğar, tüm gönlümüze"
,"Ulusu yüceltir, sevgiyle azim"
,"vatan bizimdir, vatan bizim"
,
Bu Vatan Kimin,
,Toprağın bağrında bekçileri var
,Türk’ün olduğunu tarihler yazar
,Millet ruhsuz kaldı gaflete dalar
,Toprak yas tutuyor vatan kimin
,Orta Asyalardan gelenler nerde
,Din düşmanlarına laiklik perde
,Yıkmak isteyenler gezer yerde
,Sevenler susuyor vatan kimin
,Toprağa kan döküp ona can veren
,Bize emanettir tüm şehitlerden
,Kenarlarda kaldık miskinlik neden
,Hain kin kusuyor vatan kimin
,Vatanı milleti seven dışlanır
,Dindar aleyhinde söze başlanır
,Avrupa hayranı hep alkışlanır
,Kafa karışıyor vatan kimin
,Vekil milletini temsil etmiyor
,Memurlar hakkıyla görev yapmıyor
,Vatandaş tepkisiz sesi çıkmıyor
,Garipler ağlıyor vatan kimin
,Zenginler daha zengin olmakta
,Dolandırıcılar gün çalmakta
,Dar gelirli kemer sıkmakta
,Açıkgöz gülüyor vatan kimin
,Layık olmayanlar geçmiş en öne
,Ülke ilerliyor yanlış yöne
,Devlet bekasını anmak bahane
,Türklük kayboluyor vatan kimin
,Dükkanlarımızdan Türk ismi kalktı
,Batı müziğine hayranlık arttı
,Müslümanın diyen islama çattı
,Herkes saldırıyor vatan kimin
,Dürüstlük kayboldu arttı sahtekar
,Devleti kemiren hırsızlar var
,Gelir sahipleri kazançtan çalar
,Vergi kaçırıyor vatan kimin
,Fitne çoğaldıkça anarşi azdı
,Devleti yıkmaya kuyular kazdı
,Affedileceklermiş gazete yazdı
,Kim kimi koruyor vatan kimin
,Adalet sistemi suçluyu korur
,Güvenlik konseyi tehdit savurur
,Hükümet çekingen vatandaş uyur
,Rejim sallanıyor vatan kimin
,Medya yön veriyor oldu gündeme
,Rezil rüsva olduk bütün aleme
,Komşular göz dikti güzel ülkeme
,Düşman çoğalıyor vatan kimin
,Irak Rumlar pusuda bekler
,Terörü fitneyi körükler
,Bölücü örgütü korur destekler
,Kimse anlamıyor vatan kimin
,Ülke menfaati unutuluyor
,Yöneticilere baskı oluyor
,Avrupa isterse karar çıkıyor
,Meclis imzalıyor vatan kimin
,Avrupa birliği deyip yanaştık
,Töreyi unuttuk benliği sattık
,Eski var hepsini attık
,Şeref satılıyor vatan kimin
,Vatan hainleri meclise girdi
,şanlı bayrağım gönderden indi
,Dostlar üzülürken düşman sevindi
,Sahip çıkılmıyor vatan kimin
,bardak su fırtına kopar
,Medyamız sağ olsun yaygara yapar
,Suçlu denilenler ülkeden kaçar
,Hain çoğalıyor vatan kimin
,Devleti yiyenler yiyor
,Suçlu aranıyor susurluklarda
,Asker nöbet tutar karlı dağlarda
,Vekil ek sıkıyor vatan kimin
,"Cinvan’lar, Edes’ler tecimer’ler"
,Bezmen’ler suçluysa hani nerdeler
,Mafya büyümekte kim neden besler
,Hakimler salıyor vatan kimin
,Düzen bozuk sistem iflas etmiştir
,asil milletten can kesilmiştir
,İktidar çareyi bilememiştir
,Meclis yan batıyor vatan kimin
,İslam inancına batıl saldırmış
,Milli duyguları kalpten kaldırmış
,Ruhsuz bedenleri gaflet yıldırmış
,Millet uyanmıyor vatan kimin
,Eğitim sekiz yıl olsa çıkar
,Vatan sevgisini İslam aşılar
,Dinsiz millet menfaat arar
,Herkes hak arıyor vatan kimin
,Har karış toprağı kanla sulanmış
,Uğrunda binlerce canlar adanmış
,Gençlik avrupayı kurtuluş sanmış
,Avrupa dışlıyor vatan kimin
,Kapısına gittik bizi almadı
,Avrupa bizleri hep oyaladı
,Gafletli kafalar anlayamadı
,yalvarıyor vatan kimin
,asil milletin özü değişmiş
,Gerçeği görmüyor gözü değişmiş
,Sahtekarı över sözü değişmiş
,Hiç kıpırdamıyor vatan kimin
,Kahraman milletin yiğit torunu
,Şehit deden sana bıraktı onu
,ol öl artık bükme boynunu
,Tutuştu yanıyor vatan kimin
,Niğmetullah UÇAR
,Korkuteli
,
Bayrağa Uzanan Eller Kırılsın,
,bayraktır benim namusum arım
,Bayrağa uzanan eller kırılsın
,soysuzlardan hesap sorarım
,Bayrağa uzanan eller kırılsın
,Vatan haininden hesap sorulsun
,‘Bu vatan vatanım’ demeyen gitsin
,Dağdaki çakala uşaklık etsin
,Vurun soysuzlara kökü bitsin
,Bayrağa uzanan eller kırılsın
,Vatan haininden hesap sorulsun
,Dilerim Al Bayrak göklerde kalır
,bayrak sevgisi yürekten gelir
,Bayrak kıymetini soysuz bilir
,Bayrağa uzanan eller kırılsın
,Vatan haininden hesap sorulsun
,Bayrağın rengine bizler kan verdik
,vatan uğruna nice can verdik
,Baş tacı eyledik şeref şan verdik
,Bayrağa uzanan eller kırılsın
,Vatan haininden hesap sorulsun
,Muzaffer’im dem hakka yürürüm
,yoldan ayrılmam canım veririm
,bayrak vatan benim gururum
,Bayrağa uzanan eller kırılsın
,Vatan haininden hesap sorulsun
,
,Muzaffer PARLAK
,16.02.2008
,
Vatan dediğin candan da azizdir,
,"İnsanın yaşadığı yurt başkadır,"
,Vatan dediğin candan azizdir.
,"Vatansız insan hayatta laşkadır,"
,Vatan dediğin candan azizdir.
,İnsan vatanı nasıl benimsemez?
,Vatan insan bana demez.
,"Vatan aşkı şeye benzemez,"
,Vatan dediğin candan azizdir.
,"Vatan sevdası özde meşktir,"
,Vatan gönlümüzde olan köşktür.
,"Vatan bizim sevgidir, aşktır,"
,Vatan dediğin candan azizdir.
,"Vatan duygudur,düşüncedir,haldir,"
,Vatan gönülde çiçek açan daldır.
,"Memleket insanlar kutsaldır,"
,Vatan dediğin candan azizdir.
,"Yusuf vatan karpuz seçilmez,"
,Vatana hizmet etmekten kaçılmaz.
,"Serden geçilir vatandan geçilmez,"
,Vatan dediğin candan azizdir.
,
Nazım Hikmet Vatan Hainliğine Devam Ediyor Hala,
,"""Nâzım Hikmet vatan hainliğine devam ediyor hâlâ."
,"Amerikan emperyalizminin yarı sömürgesiyiz, dedi Hikmet."
,"Nâzım Hikmet vatan hainliğine devam ediyor hâlâ."""
,"Ankara gazetesinde çıktı bunlar, üç sütun üstüne, kapkara haykıran puntolarla,"
,"Ankara gazetesinde, fotoğrafı yanında Amiral Vilyamson'un"
,"66 santimetre karede gülüyor, ağzı kulaklarında, Amerikan amirali"
,"Amerika, bütçemize 120 milyon lira hibe etti, 120 milyon lira."
,"""Amerikan emperyalizminin yarı sömürgesiyiz, dedi Hikmet"
,"Nâzım Hikmet vatan hainliğine devam ediyor hâlâ."""
,"Evet, vatan hainiyim, vatanperverseniz, yurtseverseniz, yurt"
,"hainiyim, vatan hainiyim."
,"Vatan çiftliklerinizse,"
,"kasalarınızın çek defterlerinizin içindekilerse vatan,"
,"vatan, şose boylarında gebermekse açlıktan,"
,"vatan, soğukta it titremek sıtmadan kıvranmaksa yazın,"
,"fabrikalarınızda al kanımızı içmekse vatan,"
,"vatan tırnaklarıysa ağalarınızın,"
,"vatan, mızraklı ilmühalse, vatan, polis copuysa,"
,"ödeneklerinizse, maaşlarınızsa vatan,"
,"vatan, Amerikan üsleri, Amerikan bombası, Amerikan donanması topuysa,"
,"vatan, kurtulmamaksa kokmuş karanlığımızdan,"
,vatan hainiyim.
,Yazın üç sütun üstüne kapkara haykıran puntolarla:
,Nâzım Hikmet vatan hainliğine devam ediyor hâlâ.
,
Güzel Vatanım,
,"Yahya Kemal vatan perverim,"
,"Kan akıttı vatana benim pederim,"
,"Aynı istikamette giderim,"
,"Vatan haini nesil istemem,"
,"Hübbül vatan minel iman asıldır,"
,"Vatan sevmeyen dinsiz nesildir,"
,"Mauya, Lenine şartsız esirdir,"
,"Vatan haini nesil istemem,"
,"Vatan ölmek Türk'ün şiarı,"
,"böyle emreder aziz Kur'anı,"
,"Canı sever cennet vatanı,"
,"Vatan haini nesil istemem,"
,"Şanlı destan yazmış Türkler tarihe,"
,"Layık olmak isterler Yavuz, Fatih'e,"
,"Okur ecdadına an 'fatiha',"
,"Vatan haini nesil istemem,"
,"Şehitler kanı sulanmış vatan,"
,"Bunlardır senin ecdadın atan,"
,"Kahrolsun soysuzlar, vatanı satan,"
,"Vatan haini nesil istemem,"
,"Vatansız insan imansız olur,"
,"fenalık hainde bulunur,"
,"insanlar gezişinden bilinir,"
,"Vatan haini nesil istemem,"
,"Rahatça yaşa senindir Vatan,"
,"Böyle demedi şanlı Atan,"
,"Koministtir sana sırıtan,"
,"Vatan haini nesil istemem,"
,"Meftuniyem Vatanıma yanarım,"
,"Etrafında pervane veş dönerim,"
,"Yanbakana ilk kurşunum sınarım,"
,"Vatan haini nesil istemem,"
,
Bu vatan toprakların da....,
,vatan topraklarında zaman
,istiklal marşı çalınır söylenir
,vatan topraklarında zaman
,atatürk'ün çizgisinde gidilir
,devrimleri örnek alınır
,vatan topraklarında zaman
,şerefle şanla şehit verilir
,cumhuriyetimiz ilelebet
,şahlanır baki kalır
,vatan topraklarında zaman
,onuncu yıl ellinci yıl marşları
,çalınır söylenir
,vatan topraklarında zaman
,şanlı türk bayrağımız gururla dalgalanır
,vatan topraklarında zaman
,ulusumuz bağımsızlığımıza sevdalanır
,vatan topraklarında zaman
,damarlarımızda türk'lük kanımız
,akar coşar kalplarde atar
,
Bu Vatan Bizim,
,"Vatan bizim babamız,"
,"onun torunları,"
,"Vatan çalışın,"
,Düşünün yarınları.
,"Vatan büyük ağaçtır,"
,"Bizse onun dalları,"
,"Dallar hep yeşerdikçe,"
,Uzanır tarafa kolları.
,"Vatan bizim atamız,"
,"Bizler onun kanıyız,"
,"Atamızın yaşaması için,"
,Canımızı veririz.
,"Vatan bizim anamız,"
,"onun yavruları,"
,"Vatan doğurdu bizi,"
,Şerefli Türk anaları.
,"vatan eşsiz vatan,"
,"Sözüm onu bilene,"
,"Saygıyla anıyoruz hep,"
,Vatan canını vereni.
,(İstanbul-1973)
,
Ey Vatan,
,Tanrı’nın adıyla Türk ad alarak
,Sevgisini tek bilip doğduğum ey vatan
,Önce toprağına avuç açarak
,Üstünde emekleyip diz vurduğum ey vatan
,Adı Allah’a yakararak
,Secdede hak bilip baş koyduğum ey vatan
,Neden toprakların yiğitten çorak
,Daha dün sefer açıp toy kurduğum ey vatan
,Seni kime bıraktım uyuyarak
,"Uyanıp bin parçadan,bir bulduğum ey vatan"
,Yaban elin yabanına kanarak
,Tükenip umudunu kuruttuğum ey vatan
,"Nasıl geri döndük,neden durarak"
,"Sır değil,yaram benim,bu sorduğum ey vatan"
,Yiğitler yerden fışkırarak
,"Sel olsun,çekilip sığındığım ey vatan"
,"Biri çıksın,”TÜRK” desin haykırarak"
,“TİTRE KENDİNE DÖN”dayandığım ey vatan
,Erimeyen dağı taşı kırarak
,"Çıkalım,bayrağına boyandığım ey vatan"
,"Senden çıkıp,yine sana vararak"
