title,poem_cleaned
,"Yeniden Kür Şad çıkacak Turandan,"
,Kurt başlı bayrak dalgalanacak yine.
,
Unutur mu Vatan Evladı,
,Bağrındaki yanık türküye
,Candan koşuyorum eşliğe
,Talip olmak çileye
,Uymaktır Allahın hükmüne
,Unutur vatan evladı
,Bayrakları bayrak yapan
,Toprağa şerefle bulalanan kan
,And olsun
,Usanmayacağım sana gıptayla bakmaktan
,Kimileri koltuğa oturup paslanmaktan
,Emmiye dayıya yaslanmaktan
,Yaşar hayatı
,Kalır farkı vatan satandan
,Şükür bezimiz yok yandan
,Unutur vatan evladı
,Bayrakları bayrak yapan
,Toprağa şerefle bulalanan kan
,And olsun
,Usanmayacağım sana gıptayla bakmaktan
,Ey yüce Gazi
,Kurduğun devlet
,Dünyaları bırakacak geride mazi
,Anacağız yolumuzda kan akıtan mücahidi
,Unutur vatan evladı
,Bayrakları bayrak yapan
,Toprağa şerefle bulalanan kan
,And olsun
,Usanmayacağım sana gıptayla bakmaktan
,Yitip giden düşlere
,Tek cevap yeter be
,Vatan sağolsun
,mutlu Türküm diyene
,
Hilal Yıldız Ve Kanım,
,Hilalle yıldızın şehit kanına
,Düşerek çizdiği nakıştır bayrak
,İslam ikizidir uymuş yanına
,Türk İslam ruhuna akıştır bayrak
,Yiğidin evidir koyu gölgesi
,"Okşar dalga, dalga ezanın sesi"
,Varlığın ispatı Türk’ün nefesi
,Sevdayla göklere bakıştır bayrak
,"ana, evlat, nede yar"
,Sana mesken olmaz diyar
,Dalgalan şehidim hep duyar
,Sevgiyle şahlanıp kalkıştır bayrak
,ay yıldızımız güneşimiz
,Yan baksa kurşun yer öz kardeşimiz
,Onunla süslüdür gece düşümüz
,Hür olup dünyada kalıştır bayrak
,Mehmet’im olmasa meşale yanmaz
,Üstüne örtüsün ondan uyanmaz
,Titrer yere düşsen toprak dayanmaz
,Gökte şimşek olup çakıştır bayrak
,"Sensiz adı olmaz yurdun, yuvanın"
,Özüsün Türklüğün kutsal davanın
,Süsüsün dağların yeşil ovanın
,Canımdır yokluğu çıkıştır bayrak
,Kanımla boyarım fırçam elimde
,"Yelimde, selimde, çalan telimde"
,Bayrak hürriyettir türkü dilimde
,Kalender surları yıkıştır bayrak
,
İnmeyecek bu bayrak,
,Döküldü senin
,Kanlar yere serildi
,Yüz binler milyonlar
,Nice canlar verildi
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,rengin şehit kanı
,Göklerdedir Ay-Yıldız
,Gazi şehitlerim
,Sana fedâ çocuk kız
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,Son Dünya Kupasında
,Herkes tanıdı rengi
,Göklerde dalgalandı
,Millet gördü ahengi
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,Kapladı dev bayraklar
,Hepten tribünleri
,Sevindirdi topluca
,Kahramanı eri
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,Başarıya susamış
,Milletin şahlanışı
,Kazındı hep ruhlara
,Daim yükseltti başı
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,Çin Kore Japonya'yı
,tek tek mağlup ettik
,Gösterdik kendimizi
,Bütün dünyaya yettik
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,Türk'e verilen sevgi
,Hep dünyayı şaşırttı
,Sevinç göz yaşlarımız
,Canları cana kattı
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,Hiçbir millet hiçbir soy
,Demez böyle Türkiye
,Oralardan vatana
,sözleri hediye
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,Potansiyelimizi
,Geçirin harekete
,Sebep olsun yurdumda
,Huzura berekete
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,Söyleyen Hasan Sancak
,Sevgi aşkı güçlensin
,Zorluk sıkıntıyı
,birlik aşkı yensin
,İnmeyecek bayrak
,Türkiye'm ayağa kalk
,
Bayrak bizim şanımız feda olsun kanımız,
,"Ay yıldızın hilali Allah lafzını taşır,"
,Bayrak bizim şanımız feda olsun kanımız.
,"Yıldız Peygamberimizle bütünleşir,"
,Bayrak bizim şanımız feda olsun kanımız.
,"Onun bayrak gönülde sevgiyi güder,"
,Bayrak sevgisi ebediyete gider.
,"Güzel bayrağım Türk vatanını temsil eder,"
,Bayrak bizim şanımız feda olsun kanımız.
,"rengini şehitlerin kanından almıştır,"
,Şekli Türk milletine bayrak olmuştur.
,"yüzden bizlerin katında değer bulmuştur,"
,Bayrak bizim şanımız feda olsun kanımız.
,"Onu sever sayarız yüreğimizdir katı,"
,Türk bayrağı ülkede hürriyetin beratı.
,"Şanlı bayrak bizim gönlümüzün saltanatı,"
,Bayrak bizim şanımız feda olsun kanımız.
,"Yusuf bayrağı selamlayıp susarız,"
,Severek bayrağı evlerimize asarız.
,"Bayrağı alıp bizler bağrımıza basarız,"
,Bayrak bizim şanımız feda olsun kanımız.
,
Bayrak,
,Ezanla birlikte yayılan seda
,Şehitlik ufkunda yükselen nida
,Ay yıldız beyazı şafakta sevda
,"Doğan güneşimsin,alımsın bayrak"
,"Akar nehirlerde, dimdik dağlarda"
,"Mavi gökyüzünde,İrem Bağlarda"
,"Vatan coğrafyamda,sonsuz çağlarda"
,"Gündüzüm,gecemsin,dalımsın bayrak"
,Tarih kubbesinin şanlı ışığı
,"Hürriyetin ruhu, nesil beşiği"
,"Zaferler başbuğu, Hakk'ın aşığı"
,"Devlet ezel ebed,yolumsun bayrak"
,"Dua'da,sevinçte; umutla yeşer"
,Millet yaşar bayrakta yaşar
,Gelecek çağların çoşkusu taşar
,Atiye uzanan elimsin bayrak
,Ülküm seni dikmek bütün burçlara
,"Kanımı,terimi katmak harçlara"
,Baş eğdirmek cümle alem taçlara
,"Şerefim,kudretim,kolumsun bayrak"
,
Bayrak benim hürriyet güneşimdir,
,"Göklerde nazı nazlı dalgalansın,"
,Bayrak benim hürriyet güneşimdir.
,"benim dünyada cansın,"
,Bayrak benim hürriyet güneşimdir.
,"Bayrak bize şereftir herkes bilsin,"
,Sevgisi gönülde yerini alsın..
,"Ay yıldızıma canım feda olsun,"
,Bayrak benim hürriyet güneşimdir.
,"Bayrağın rengi şehidimin kanı,"
,Bayrağa selam durup iyi tanı.
,"Bayrak donatalım vatanı,"
,Bayrak benim hürriyet güneşimdir.
,"Bayrağa uzanan el kırılsın,"
,İsterse sevmeyen bana darılsın.
,"Bayrağı yakandan hesap sorulsun,"
,Bayrak benim hürriyet güneşimdir.
,"Yusuf bayrak aşkıyla büyüdün,"
,Onun gölgesinde yatıp uyudun.
,"Ona sahip çıkalım gel yiğidim,"
,Bayrak benim hürriyet güneşimdir.
,
Bayrakmış,
,ismini değiştirdiği devlet
,sanki bayrak değildi
,T.C.'si gitti
,bayrak değildi sanki
,en on bin şehit
,askerdi polisti korucuydu
,yakıldı devletin arabaları
,içindekilerle beraber
,bayrak değildi panzer
,bayrak değildi sanki
,terörle mücadele araçları
,BTR'den akrebe
,milletlerin devletleri
,üç beş vatandaşı
,savaş açarlar devlete
,bizim vatandaşlarımız
,bayrak değil
,yakıldı karakollara
,malzeme taşıyan kamyonlar
,bayrak değil
,yakıldı arabaları İstanbullarda
,zavallı milletin
,bayrak değil
,dövnek yapıldı dağlar
,Amanos'tan Kars'a
,bayrak değildi
,bayrak değildi ovalar
,Çukurova'dan Gediz'e
,basılan karakollar
,infaz edilen korucular
,yollarına bomba döşenen pilotlar
,bayrak değil
,bayrak değildi dağlarda
,vatanı
,mayının üstüne basan asker
,kesilen yollar bayrak değil
,kaçırılan adamlar bayrak değil
,yüzüne bakmaya kıyılmaz çocuklar
,düştüler yerlere
,bitmezler bakmakla resimlerine albümlerine
,Kadirli'ninki
,Haziran 2014
,
Bayrak Bize Şereftir,
,"Bayrak demektir? Sorma demek,"
,"Bayrak Vatan bize, ona demek!"
,"Gönderde oldukça herkes hür demek,"
,"Bayrak namus, Bayrak bize şereftir."
,"Hayalim sen, sevdam sen, aşkım sensin,"
,"Seninle var oldum ben, adım sensin."
,"Bilmeyen kalmasın, herkes öğrensin,"
,"Bayrak Vatan, Bayrak bize şereftir."
,"sevgimiz cilve değil, naz değil,"
,"heves coşku, haz değil,"
,"Onurumdur, sade basit bez değil,"
,"Bayrak namus, Bayrak bize şereftir."
,"Yıldız beden, Hilal ruhumdur,"
,"Senden ayrı kalmak bil sonumdur,"
,"Gölgendeki yer Ana Yurdum’dur,"
,"Bayrak Vatan, Bayrak bize şereftir."
,"Yan baktırmam, Şahan’ım ben, Şahan’ım,"
,Soldurmam rengini çıkmadan canım.
,"Seninle güç bulur dinim, imanım,"
,"Bayrak namus, Bayrak bize şereftir."
,
Toprak bayrak ve sana Canım kurban vatana,
,Çizersin kaderimi
,Okur okur okurum
,Unuttur kederimi
,Yürekleri dokurum
,Toprak bayrak sana
,Canım kurban vatana
,Işığımı söndürme
,Daim sana koşayım
,Doğru yoldan döndürme
,Hep sana ulaşayım
,Toprak bayrak sana
,Canım kurban vatana
,Gel derdimi unuttur
,Hakikati anlatın
,Karamsarlığı attır
,Çocuk genci çınlatın
,Toprak bayrak sana
,Canım kurban vatana
,darda kalsam
,Yetiş imdadıma
,Sıkıntı dolsam
,Zarar verme adıma
,Toprak bayrak sana
,Canım kurban vatana
,Sensin yalnız dost bana
,Al beni ellerine
,Teşekkürler sana
,Kurbanım dillerine
,Toprak bayrak sana
,Canım kurban vatana
,Çorak kalbim seninle
,Ver bana ellerini
,Zevk duyayım teninle
,Gönder hep yellerini
,Toprak bayrak sana
,Canım kurban vatana
,Ümidim geleceksin
,Kuvvetim tesellim ol
,Doğruyu bileceksin
,Benimle neşe dol
,Toprak bayrak sana
,Canım kurban vatana
,Taşı hep ileriye
,Saygım sevgim coşsun
,Çevirme hiç geriye
,canlar senle koşsun
,Toprak bayrak sana
,Canım kurban vatana
,Çabam gayretimsin
,Unuturum derdimi
,Neşe duyuyorum
,Okut öğret merdimi
,Toprak bayrak sana
,Canım kurban vatana
,Kat beni yarışa
,göz yaşlarım dinsin
,Hasan diyor geç başa
,Ateşlerimiz sönsün
,Toprak bayrak sana
,Canım kurban vatana
,
Benim bir oğlum vardı,
,"Oğlum gitti askere,"
,"Can adadı ekbere,"
,"Alamadı tezkere,"
,"Al bayrak kan istedi,"
,vatan can istedi.
,"Benim oğlum vardı,"
,"zalim eller vurdu,"
,"Şimdi dünyam karardı,"
,"Al bayrak kan istedi,"
,vatan can istedi.
,"Vatana feda ettim,"
,"Şehidime gittim,"
,"gün acıyla bittim,"
,"Al bayrak kan istedi,"
,vatan can istedi.
,"Oğlum Şehit diyorum,"
,"Kabrine gidiyorum,"
,"Fatiha okuyorum,"
,"Al bayrak kan istedi,"
,vatan can istedi.
,"Hiç şeyim olsaydı,"
,"Evladım dursaydı,"
,"Sesimi duysaydı,"
,Al bayrak kan istedi.
,vatan can istedi.
,"Genç Türk eriyip duldum,"
,"gözlerimden oldum,"
,"Cennet yolunu buldum,"
,"Al bayrak kan istedi,"
,vatan can istedi.
,
Vatan ve Bayrak Namustur,
,"Bayraksızlar bilsin,bayrağın kıymetini"
,bayrak bez parçasından
,Bayrağı yere düşürmekle bayrak değerini yitirir
,Yüzlerinde pislikler bayrağımı pisletebilir
,bayrağın altında yiyip içip kuduranlar
,"İnsan olan utanır yaptığından,hayvanlar utanmazlar"
,"Hayvanda haya yoktur çünkü,yaptığını anlamazlar"
,Adı pkk iken provakatöre çıkan bayraksızlar
,"anlarsın vatan ne,bayrak"
,Kan dökmeniz sebepsiz yere
,"Allah için,vatan dersem anlarsınız"
,"Defolun gidin,bayrak diktirmeyin"
,"Kanla almış atam,vatan dediğin kokar kan"
,Kanla rengini verdiğim bayrağımı size kullandırtmam
,"Vatansa bizim,bayraksa sembolüdür vatanımı anlatan"
,"Kime anlatıyorum ki,ne anlar vatanıda bayrağıda olmayan"
,İmralıdan komutlarla vatan parçalanmaz
,"Bayrağımı yakarakta,bayrağım aşağılanmaz"
,"ALLAH der,VATAN der can dil kullanmaz"
,vatanın toprağındaki kanlar bayrak tanımaz
,
Bayrak hürriyet güneşidir,
,"Vatanımızın teminatı,"
,Bayrak hürriyet güneşidir.
,"Kuşatıyor tüm kainatı,"
,Bayrak hürriyet güneşidir.
,"Al şehit kanıyla oluşur,"
,Yıldız peygamber ışır.
,"Hilal Allah lafzını taşır,"
,Bayrak hürriyet güneşidir.
,"Bayrak şehidimin örtüsü,"
,Bayrak yüreğimizin süsü.
,"Bağımsız olmanın simgesi,"
,Bayrak hürriyet güneşidir.
,"Allah bize vermesin keder,"
,Hür olalım sonsuza kadar.
,"Bayrak devleti temsil eder,"
,Bayrak hürriyet güneşidir.
,"Yusuf bayraksız kalmasın,"
,Türkiye'ye düşman dolmasın.
,"Bizim güneşimiz solmasın,"
,Bayrak hürriyet güneşidir.
,
Bayrak,
,Hilalle yıldızı sanki nazarlık
,Üstüne yapılmaz onun pazarlık
,Türkün başında olur üzerlik
,Aksa helaldir ona kanımız
,Bayrak bizim şerefimi şanımız
,*
,Sarılıyor şehidimin üstüne
,Yakışıyor ATAmızın büstüne
,Güven verir Türke Türk’ün dostuna
,Al’ına sevdalı insanımız
,Bayrak bizim şerefimiz şanımız
,*
,Evladı Fatihan kalmasın hasret
,Duruşun bizlere verir cesaret
,Mevlam bize tattırmasın esaret
,Esareti hiç kaldırmaz genimiz
,Bayrak bizim şerefimiz şanımız
,*
,Caddeleri süsler hep dizi dizi
,Tüm cihanda temsil ediyor bizi
,daim okşuyor gönlümüzü
,Dünyada eşi yok buna eminiz
,Bayrak bizim şerefimiz şanımız
,*
,Dil uzatan varsa haddini bildir
,Yere düşmüş öp onu kaldır
,Ezan Bayrak Kur’an bizde kutsaldır
,Bunu emrediyor kutsal dinimiz
,Bayrak bizim şerefimiz şanımız
,*
,Sevgisinde çırak degil ustayız
,Yarıya inmişse bilki yastayız
,Bizimkisi sevda renge hastayız
,Devlet Babamızdır Vatan Anamız
,Bayrak bizim şerefimiz şanımız
,*
,Dalgalansa hangi dağın başında
,Mertlik kokar toprağında taşında
,Yarab koyma gölgesinin dışında
,onla kutlarız mutlu günümüz
,Bayrak bizim şerefimiz şanımız
,*
,Rengini almıştır Türkün kanından
,Türk onu aziz tutar canından
,Eksik etmez sarayından hanından
,Yoluna kurbandır inan canımız
,Bayrak bizim şerefimiz şanımız
,*
,Gizli açık var ihanet edenler
,Uğruna oldu Şehit gidenler
,Bayrak sevmek olmaz nedenler
,Kul Hızır’ım coştum Bayrak konumuz
,Bayrak bizim şerefimiz şanımız
,Bayrak bizim şerefimiz şanımız
,*
,Nuh Ali Berk
,(Kul Hızır)
,
Al Kanımla Sulanmış,
,"Vatan,bayrak uğruna ölen binlerce yiğit,"
,Candan bağlı vatana kahraman oğlu şehit
,Dünya durdukça hep dalgalanacak al bayrak
,Al kanımla sulanmış kutsal olan toprak
,Bağımsızlık nişanım şanlı bayraktır bayrak…
,"Rengini kandan almış,ay yıldızı semadan,"
,"Uğruna çarpışıldı bıkmadan,usanmadan"
,Dünya durdukça hep dalgalanacak al bayrak.
,Al kanımla sulanmış kutsal olan toprak
,Bağımsızlık nişanım şanlı bayraktır bayrak…
,29.09 2010
,vehbiye yersel
,
Bayrak dendiği anda-ileriye koşarız Önde kimse duramaz-zorlukları aşarız,
,Nice devletler kuran-canım atalarımız
,Bayrak can verdi-onlar bizim varımız
,Rütbenin en büyüğü-şehitlik söyleyerek
,İleri atıldılar-yurtta binlerce yürek
,Bayrak dendiği anda-ileriye koşarız
,Önde kimse duramaz-zorlukları aşarız
,Kefen biçmeye kalkma-elindeki malzeme
,Sizlere kefen olur-sonra ah-vah deme
,Beyinleri satılık-ajan robotlar
,Sevgiyi anlayamaz-aptal salak suratlar
,Bayrak dendiği anda-ileriye koşarız
,Önde kimse duramaz-zorlukları aşarız
,elinde tuttuğun-meşale olan bayrak
,kez şunu anlayın-şehitle dolu toprak
,Düşmanın oyununa-gelerek kin güdülmez
,Kirli el değer ise-hemen davranırız tez
,Bayrak dendiği anda-ileriye koşarız
,Önde kimse duramaz-zorlukları aşarız
,Türk’ün tokadı başka-yiyince rahatlarsın
,Saldırıya geçince-alt tarafa yatarsın
,Tarih boyu önledik-nice yıkım belayı
,Şehit düştü ecdadım-üstte duyduk salayı
,Bayrak dendiği anda-ileriye koşarız
,Önde kimse duramaz-zorlukları aşarız
,Üç buçuk çapulcuya-meydanı bırakmayız
,Hazır olda bekleyen-mızrak ok yayız
,Sabır taşı çatlarsa-ayranım kabarırsa
,zaman görürsünüz-sizleri kaplar tasa
,Bayrak dendiği anda-ileriye koşarız
,Önde kimse duramaz-zorlukları aşarız
,Fışkıran volkanların-önünde duramazsın
,an ortaya çıkar-yürekteki pasın
,Kimseden korkumuz yok-çünkü 70 milyonuz
,Öğretmen Hasan söyler-çünkü boyumuz Oğuz
,Bayrak dendiği anda-ileriye koşarız
,Önde kimse duramaz-zorlukları aşarız
,
Daima yükselmeli-dalgalanmalı bayrak Türk Milleti Atatürk-korunacaktır toprak,
,Bugün 23 Nisan-çocuk gençler el ele
,Törene koşuyorlar-sevinip güle güle
,Okullar sınıflar-hep süslenmiş rengârenk
,Dillerde marş türküler-kaplıyor göğü ahenk
,Daima yükselmeli-dalgalanmalı bayrak
,Türk Milleti Atatürk-korunacaktır toprak
,Bakışlar seslenmeler-düzenli güvenli
,Bölüşülür kardeşçe-hepsi senli benli
,Ev apartman binalar-bayrakla ışıl ışıl
,Kalplerde aynı duygu-hep veriliyor akıl
,Daima yükselmeli-dalgalanmalı bayrak
,Türk Milleti Atatürk-korunacaktır toprak
,Türk çocuğu sevinçli-emin yarınlarından
,Anne baba nineler-geçiyor yanlarından
,günü konuşuyor-köy belde ilçe iller
,Sevinçli tebessümlü-konuşur bütün diller
,Daima yükselmeli-dalgalanmalı bayrak
,Türk Milleti Atatürk-korunacaktır toprak
,Hürriyetin ilk günü bugün başladı
,Azimli irademiz-düşmanları haşladı
,Hakimiyet Milletin-işiterek hep anla
,Yerinizde zıplayın-oyna birlikte çınla
,Daima yükselmeli-dalgalanmalı bayrak
,Türk Milleti Atatürk-korunacaktır toprak
,Açtık Meclisimizi-bütün günümüz mutlu
,Dünya bunu anladı-hepimiz olduk kutlu
,Çocuklara armağan-Atam hediye etti
,Geçmiş birlikte-millet ileri gitti
,Daima yükselmeli-dalgalanmalı bayrak
,Türk Milleti Atatürk-korunacaktır toprak
,Atamızın portresi-resimleri yerde
,O'nu anlar isek-asla girmeyiz derde
,Eseri yaşayacak-inancımız yıkılmaz
,vatanda var iken-karşısına çıkılmaz
,Daima yükselmeli-dalgalanmalı bayrak
,Türk Milleti Atatürk-korunacaktır toprak
,günün onurunu-yaşayıp yaşatarak
,Vatan bayrak milleti-sevgiyle kuşatarak
,Türk doğru çalışkandır-dinle sözü canım
,Hasan size seslenir-ben vatana kurbanım
,Daima yükselmeli-dalgalanmalı bayrak
,Türk Milleti Atatürk-korunacaktır toprak
,
Tek Bayrak Tek Vatan Tek Dil Türkçedir,
,Ulus devlet bizi bize bağlayan
,Çiçek çiçek açan güzel bahçedir
,Milet olma duygusunu sağlayan
,"Tek bayrak, tek vatan, tek dil türkçedir"
,Herkes etnik kültürünü yaşasın
,Millet olma gururunu paylaşsın
,üç idealde herkes birleşsin
,"Tek bayrak, tek vatan, tek dil türkçedir"
,Düşmanların oyununa gelmeyin
,güzelim ülkemizi bölmeyin
,Tek çözümdür ülkem dinleyin
,"Tek bayrak, tek vatan,tek dil türkçedir"
,Lozan Sevr'e dönsün istiyor kalleş
,Böl parçala yut sonra yerleş
,"Yetmiş milyon ülkem, hepsi kardeş"
,"Tek bayrak,tek vatan,tek dil türkçedir"
,Mehmedim yurduma aşığım aşık
,Mevlâm göstermesin bana şık
,Atanın kuralı bizlere ışık
,Tek bayrak tek vatan tek dil türkçedir
,(19-Ocak-2011-Ankara)
,
GÜZEL Türkiye'm,
,Ankara’dır başkenti bütün illerin
,"Dağların, denizlerin, mavi göllerin"
,"Bağların, bahçelerin, kokan güllerin"
,Tek bayrak yer vatan güzel Türkiye’m
,İstanbul sanayide rekor kırsa
,"Havlu, lif, ipek kumaş yeşil Bursa’da"
,"Memnun kalırsın gitsen Ağrı, Kars’a"
,Tek bayrak yer vatan güzel Türkiye’m
,Tekirdağ rakısını susuz içmeyin
,Edirne ay çiçeği deyip geçmeyin
,Trakya güzel bölge şehir seçmeyin
,Tek bayrak yer vatan güzel Türkiye’m
,Köroğlu’nun diyarı Çamlıbel Bolu
,Boğazlardan geçiyor Avrupa yolu
,Samsun’da yağmur yağar Artvin’de dolu
,Tek bayrak yer vatan güzel Türkiye’m
,Ünlüdür Amasya’nın sulu elması
,Ordu fındıkla Konya kuzu dolması
,Akşehir’in gölüne maya çalması
,Tek bayrak yer vatan güzel Türkiye’m
,"Kayseri mantı, sucuk, buğday kepeği"
,Rize’de çay Sivas’ta kangal köpeği
,Marmara çevresinde koza ipeği
,Tek bayrak yer vatan güzel Türkiye’m
,"Adana, Mersin, Tarsus tahıl silosu"
,"Antalya’da sebze bol, ucuz kilosu"
,Akdeniz bölgesinde gıda filosu
,Tek bayrak yer vatan güzel Türkiye’m
,"Eskişehir güzel, Aksaray şirin"
,Yozgat’a yazın gidin bayağı serin
,Nevşehir hacı Bektaş en büyük pirin
,Tek bayrak yer vatan güzel Türkiye’m
,"Aydın incir ambarı, Manisa üzüm"
,"Afyon kaymağı yedim, açıldı gözüm"
,Balıkesir Burdur’a olmaz sözüm
,Tek bayrak yer vatan güzel Türkiye’m
,"Uşak’ta halı, kilim Kütahya çini"
,İzmir kültürlü yerdir kaldırmaz kini
,"Efes antik kentimiz, Marmaris yeni"
,Tek bayrak yer vatan güzel Türkiye’m
,Doğu’yu anlatmanın geldi sırası
,Van et yiyor Malatya kaysı parası
,Meşhurdur Elazığ’ın çayda çırası
,Tek bayrak yer vatan güzel Türkiye’m
,Erzurum kadayıfı yapıyor burma
,Oltu taşından tesbih gümüşten sırma
,Diyarbakır Mardin’i gidip gör sorma
,Tek bayrak yer vatan güzel Türkiye’m
