title,poem_cleaned
,01/06/2002
,(Parmak İzi)
,
Karahazer Çiçeğim,
,Ah dağda bırakıp dağda bulacağım
,Leyla menekşesi
,Olursa yağlı kurşundan birde senin elinden olur ölümüm
,seherde açsınlar bağrımı
,En deli rüzgarlar essin
,"yiğitti desinler, filinta, hercai fiyaka"
,Dönüp baktıkları zaman oltu tesbihi
,gümüş tabaka
,Bitlis tütününden yarım kalmış sarma cigara
,"Şeyh izzetttinin dünyanın bütütn çokcuklarına,"
,Yaptığı muska
,
,Sevda adına kurutulmuş karanfil bulsunlar
,Mintanımın altında
,Ah yaban gülü ah Karahazer çiçeği
,Ah gurbetin şıvan yıldı....................
,
Davet...,
,Dörtnala gelip Uzak Asya'dan
,Akdeniz'e kısrak başı uzanan
,"memleket, bizim."
,"Bilekler kan içinde, dişler ken...................."
,
Haydi bizimle yürü Türkiye,
,"Üç Hilali kucaklayıp,"
,Bizimle yürü Türkiye.
,"Bizden geri durma ayıp,"
,Bizimle yürü Türkiye.
,"Şiddete karşı duralım,"
,Ülkeye kafa yoralım.
,"Milli devlet kuralım,"
,Bizimle yürü Türkiye.
,"Allah rızası güdelim,"
,Hak yoluna gidelim.
,"Vatana hizmet edelim,"
,Bizimle yürü Türkiye.
,"Milletimiz huzur bulsun,"
,Yüreğimiz aşkla dolsun.
,"Meşalemiz sevgi olsun,"
,Bizimle yürü Türkiye.
,"Yusuf çağrıya uyalım,"
,Haydi Bismillah diyelim.
,"Hep birlikte yürüyelim,"
,Bizimle yürü Türkiye.
,
Faruk Nafiz Çamlıbel,
,'Bir zaman lale sendin bize peymane sen'
,sular içtik Çoban Çeşmeleri'nden
,zaman senden esti şiirin rüzgarl....................
,
Memed'e Son Mektubumdur,
,"yandan cellatlar girdi araya,"
,"yandan, oyun etti bana"
,"mendebur yürek,"
,"Nasip olmayacak Memed'im yavrum,"
,seni daha görmek.
,"Biliyorum,"
,"buğday başağı delikanlı olacaksın,"
,"öyleydim gençliğimde,"
,"kumral, ince, uzun;"
,"gözlerin ananınkiler kocaman,"
,bazen parça tuhaf mahzun;
,alnın alabildiğine aydınlık;
,herhalde sesin olacak
,- berbattı benimkisi -
,türküler döktüreceksin yanık yanık...
,Konuşmasını bileceksin
,- becerirdim işi
,sinirlenmediğim zamanlar -
,bal damlayacak dilinden.
,"Vay, Memet, kızların çekeceği var"
,senin elinden.
,Müşküldür
,babasız büyütmek erkek evladı.
,Ananı üzme oğ....................
,
Neyi Bildirir Sayılar,
,sayılar bebelerin kundakları
,sayılar tabutları şehirlerin
,öldürülmüş
,öldürülebilecek olan
,sayılar yaklaşan şeyleri bildirir
,sayılar bildirir uzaklaşan şeyleri
,nedir yaklaşan bize
,bizden uzaklaşan nedir
,dünya savaşı: I
,dünya savaşı: II
,14'ten 18'e 39'dan 45'e 10 yıl 54 milyon ölü
,49 milyon sakat
,ölülerle sakatların memleketi
,103 milyon nüfuslu memleket
,ayrıca öksüzleri delileri yanık taşlarıyla
,gidenlerden biri evimizdendi
,gitti dönmedi daha
,19'unda mıydı 40'ında mıydı aklımda kalmamış
,döndü iki gözü kör
,gök gözlü müydü kara gözlü müydü aklımda kalmamış
,döndü dizkapağından kesik sol bacağı
,döndü kapısını bulamadı evinin
,14'ten 18'e 39'dan 45'e 10 yıl 54 milyon ölü
,49 milyon sakat
,"yeryüzünde yuvarlak hesap şimdilik 2,5 milyarız"
,% 80'imiz aç
,dişlerimiz dökülüyor
,dişetlerimiz yara içinde
,ölü derilerimiz çatlak
,hele çocuklarımız
,sallanan koca kafaları
,kırış kırış yüzlerinde kederli iri gözleriyle
,eğri büğrü incecik bacakları üstünde karınları
,davul ....................
,
Röportaj - 2 (hökümet Bilir),
,Soruları sor cevap isteme
,"bilek ağam, hökümet bilir."
,"Süt beyaz mı, limon sarı deme"
,"bilek ağam, hökümet bilir."
,Yirmi iki milyon asgari ücret
,"Çalışan kişi, sekiz baş külfet"
,"Ye öl, yemeden öl, otuz gün mühlet"
,"bilek ağam, hökümet bilir."
,Solculuğun üstün meziyetini
,Yönetimin halka eziyetini
,BÇG'nin durum vaziyetini
,"bilek ağam, hökümet bilir."
,Siyaset mi? Sorun Güngör Yekta'ya
,Yeni din mi? gidin Agah Oktay'a
,Belki suçtur nokta desek noktaya!
,"bilek ağam, hökümet bilir."
,"Beden nerde, baş nasıldır ayak kim?"
,"Çavuş kimdir, onbaşı kim, yamak kim?"
,Kesintisiz kargaşaya dayak kim?
,"bilek ağam, hökümet bilir."
,dövizden dolardan anlarız
,semerden yulardan anlarız
,zehirden klordan anlarız
,"bilek ağam, hökümet bilir."
,Okuyan değiliz yağıp eselim
,Dedelek değiliz ahkâm keselim
,"En doğrusu dinleyelim, susalım"
,"bilek ağam, hökümet bilir."
,"İşler bacanağa, yeğene kalmış"
,"Memleket güdene, sağana kalmış"
,Elmanın görevi soğana kalmış
,"bilek ağam, hökümet bilir."
,"Vesayet var imiş, ''var'' diyemek"
,Tıbben sabit köre ''kör'' diyemek
,Enflasyon azıtmış ''dur'' diyemek
,"bilek ağam, hökümet bilir."
,"Yarasa kuş mudur, arı yılan"
,"Vaatler cılk mıdır, sözler yalan"
,Sırtımıza vurdukları palan
,"bilek ağam, hökümet bilir."
,Laiklik yemeyle doyar karın
,Bilmeyiz bugüne uyar yarın
,"Buzluklar sıcak mı, hamam serin"
,"bilek ağam, hökümet bilir."
,Senfoniye girsek hani paramız
,Çağdaşlıkla açık kaldı aramız
,"Sırtımızda var mı, yok yaramız"
,"bilek ağam, hökümet bilir."
,"Ekmekte, ayranda irtica var mı?"
,"Yukardan baskı, rica var mı?"
,Muhtardan bekçiye iltica var mı?
,"bilek ağam, hökümet bilir."
,"Doğru mudur, güvercine kuş desek?"
,"Suç olmaz mı, zemheriye kış desek?"
,Gücenirler ıslak yola yaş desek
,"bilek ağam, hökümet bilir."
,Demokrasi varsa nerede yaşar?
,Hukuk bağımsız mı? .. bizi aşar
,"Vurgun, soygun, rüşvet nereye koşar"
,"bilek ağam, hökümet bilir."
,Kadir beyin cömerdini hasını
,Göz doyuran Sibel Can'ın dansını
,En büyük babanın laf mirasını
,"bilek ağam, hökümet bilir."
,"Kime güceniriz, kime küseriz"
,karpuzu kaç dilime keseriz
,Nerde yoruluruz nerde susarız
,"bilek ağam, hökümet bilir."
,Bulatıldık kez durulmak ayıp
,"Çalış, didin amma yorulmak ayıp"
,"İtiraz günahtır, darılmak ayıp"
,"bilek ağam, hökümet bilir."
,"İbadete tavır, inanca hudut"
,"''Eskiyi unut da, yeni yolu tut''"
,Dağıtır gelen dağ boyu umut
,"bilek ağam, hökümet bilir."
,Hayatımız çözülmez bilmece
,"“Of! ..” çekeriz, topu topu tek hece"
,Hangi düşü göreceksek gece
,"bilek ağam, hökümet bilir"
,Oğlum Murat üç ay önce dişlendi
,Masum yavrum dişlenirken fişlendi!
,Sabıkası kaç deftere işlendi
,"bilek ağam, hökümet bilir"
,(Yasaklı Rüyalar)
,
Şüheda Kanıyla Yoğrulan Bu Yurt,
,Şüheda kanıyla yoğrulan yurt
,Sana yan bakanlar çekmez bela
,Sende yaşayan Türk mert oğlu mert
,Biri yüz bin olup cihana dola
,Cihana dolasın buluban izzet
,Senin sahibindir sâhib-nübüvvet
,Bunu fehm edemez ehl-i gaflet
,Zanneder gelip geçen beyhuda
,Türk oğlu mertlikte yektâ cihandan
,Vatanıyçün geçer ser candan
,Kahreder düşmanı çekinmez andan
,nusret veren Hazret-i Mevlâ
,Dinimiz İslamdır almışız himmet
,Himmet alan kılmaz kimseye minnet
,Hep âlem İslamda bulur hürriyet
,"Kırım, Bahçesaray, Hîve, Buhara"
,"Irak, İran, Afganistan, Suriye"
,"Mısır diyarı, Fas gele beriye"
,birliğe karşı düşman eriye
,zaman dünyada bak ola
,"Endozin, Pakistan gele yetişe"
,Bütün dindaş hep el ele tutuşa
,vakit ülkemiz döner ateşe
,Kimse parmak uzatamaz alava
,Alava düşenler yanar çıkamaz
,Yüz bin kedi arslanı yıkamaz
,Ordumuza kimse hain bakamaz
,Sâdıktır hep sâdık emîr ümerâ
,Celal Bayar milletin sultanı
,"Adnan Menderes vekiller hanı,"
,Refik Koraltan’ı ordu tekmanı
,Umaram yaşasın dünya durdukça
,Çakmak ataşlansa cihanı dağlar
,"Doğuya, batıya yıldırım yağar"
,"Dostları şad olur, hep düşman ağlar"
,Salar cümlesini hay vaya
,Gene gönlüme geldi efkâr
,Bari saklamayam kılam âşikâr
,Bizim gavsü’l-a‘zam kutb-ı zaman var
,Dar günde imdada gelir evliya
,Umaram yurda gelmesin keder
,Hain bakanları ola derbeder
,Cümle âşk-ı sâdık hep dua eder
,niyâz eyle ey Cemâl Gedâ
,
Adnan Kahveci,
,Sürmeneden ışık doğdu dünyaya
,Adeleti sevgiyi yaydın tüm ulusuna
,Hep yalnışını gördün ayna karşısında
,Mekanın Cennet olsun Adnan Kahveci
,Milletinin ihityaçlarını arayıp bulurdun
,Kendin aç kalırdın halkını doyururdun
,Türkiye gerekirse canını verirdin
,Mekanın Cennet olsun Adnan Kahveci
,Hiç zaman kendini düşünmedin
,"Hep halkım, vatanım, Türkiye'm derdin"
,Oy gelip asla yalan söylemezdin
,Mekanın Cennet olsun Adnan Kahveci
,5 Şubat 1993'te boğdun bizi kedere
,Annem dahi ağladı oğlum öldü diye
,Tüm Türkiye yas tuttu gittin diye
,Mekanın Cennet olsun Adnan Kahveci
,öldün düzenide yanında götürdün
,Karadenizlinin yüzünü hüzünle doldurdun
,Anneni anne bildik beraber ağıt yaktık
,Mekanın Cennet olsun Adnan Kahveci
,İyiler erken ölürmüş kere daha anladık
,Haberini alınca annemle beraber ağladık
,Tüm Türkiye'ye baş sağlığı yolladık
,Mekanın Cennet olsun Adnan Kahveci
,
''Var Ol Türkiye'',
,"Kurtuluş birlikte, ''Bir Ol Türkiye''"
,Ezelden ebede ''Var Ol Türkiye''
,Yarının aydınlık; ''Nur Ol Türkiye''
,"Sevdalı yüreğe, ''Yar Ol Türkiye''"
,Zalime zulme ''Şir Ol Türkiye''
,Zorda kalmışlara ''Fer Ol Türkiye''
,"Çağdaşlıkta dem, ''Ser Ol Türkiye''"
,"Ufkunu genişlet, ''İr'Ol Türkiye''"
,"Zeybek, karşılama, bar ol, Türkiye"
,"zaman, halde, ''Dir'Ol Türkiye''"
,"Can dost arayana, ''Pir Ol Türkiye''"
,Karakterin budur; ''Hür Ol Türkiye''
,"Çalışan alnında, Ter Ol Türkiye''"
,"şeyinle, ''Mutlu Yer Ol Türkiye''"
,
Şehidine ağla Türkiye...,
,Şehidine ağla Türkiye...
,Gül uğruna şehit oldu
,Şehidine ağla Türkiye...
,Derdimiz vatan bizim
,Tarihe özlem büyüyor çığ
,Çınar büyüsün Türkiyem
,Şehidine ağla Türkiye...
,Uykuyu unutmuştur vatan
,Şehidine ağla Türkiye...
,Hilal uğruna şehit olmuş genç yaşında
,Unuttuk derdimizi derdimiz vatan bizim
,Şehidine ağla Türkiye.
,Alnımız dualarda
,Hasret bitsin gül türkiye
,Türkiye bahtın gülsün Türkiye
,Vuslat en yakın deniz
,Aşığız susadıkça susadık
,Dirlikteki türkiye
,Birlikteki türkiye...
,şehit batan güneş
,Şehidine ağlıyor Türkiye...
,Hasret bitsin gül türkiye
,Başlar dik artık gül türkiye
,şehit batan güneş
,Şehidine ağla Türkiye...
,Zaman uyanma zamanı
,Zaman yanma zamanı
,Unutmuş kendi derdini
,Derdi vatan derdi
,Şehidine ağlıyor Türkiye
,şehit batan güneş
,Şehidine ağla Türkiye...
,Vuslat yakın gül türkiye
,Özlemler büyüyor gül türkiye
,Vuruyor yumruğunu birlik
,Vuruyor yumruğunu dirlik kahramanlarımız
,Zaman kahramanlık zamanı ikram göklerden
,şehit batan güneş
,Şehidine ağla Türkiye...
,Nehirlerin gamlı aktı
,Toprağına vuruldu hançer...
,Zaman hesap zamanı yiğit Türkiye
,Bıçak kemiğe dayandı gün
,Alnı seccadede
,Şehidine ağla Türkiye...
,Üç tarafın ateşle çevrilmiş
,kahramansın Türkiye
,Allah yar Allah yar
,Düşmana geçit vermez yiğitlerin var
,Aslanların var Türkiye
,Hasret bitecek gül türkiye
,Gönlünü aç Allah'a
,Şehidine ağla Türkiye...
,Aramızı bozdular kardeşlik gün
,Yan baktılar birliğe nur ülküye
,Türkiyem özlemli canım türkiye
,Bıçak kemiğe dayandı
,Hasret bitiyor gül türkiye
,
,şehit batan güneş
,Şehidine ağla Türkiye...
,Şehit deden kahroldu koca tarih yandı
,Çakallar kendini aslan sandı
,Kahramansın Türkiye
,Hasret bitsin gül türkiye
,Ellerin duada olsun
,Şehidine ağla Türkiye...
,Allah yar Allah yar
,Düşmana geçit vermeyenler var
,Yeşil cübbeli yeşil sarıklılar bize yar...
,Düşmana geçit vermez dikilir dağ yiğitlerin
,Hasret bitsin gül türkiye
,şehit batan güneş
,Şehidine ağla Türkiye...
,Alnın secdede
,Şehidine ağla Türkiye...
,
Türkiyem!,
,"Hasretim, toprağına"
,"Türkiye’m, Türkiye’m"
,"Özlerim, yolunu"
,"Türkiye’m, Türkiye’m"
,"Gönülden, seni anarım"
,"Arı gibi, çiçeğine konarım"
,"Seni, sevgiyle yorarım"
,"Türkiye’m, Türkiye’m"
,"Benim ülkem, oldun"
,"Damarıma, kan doldun"
,"Aşkından, sararıp soldum"
,"Türkiye’m, Türkiye’m"
,"Tahsin der, gurur duydum"
,"Gelişmenle, onur duydum"
,"Gözümü açtım, seni gördüm"
,"Türkiye’m, Türkiye’m"
,Ankara- 17.01.2013
,
Büyük Türkiye,
,Büyük Türkiye
,zaman büyük Türkiye
,"Hasretim büyük, büyük türkiye"
,
Güzel Türkiye,
,Uzunca yürüdüm yollarında
,Deresinden köprüsünden geçtim
,Dağlarından akan pınarlarında
,Buz akan sularını içtim
,Türkiye Zümrütten yeşil
,"Göllerinden,ırmaklarından geçtim"
,"Dağlar,ovalar,ormanlar yemyeşil"
,Türkiye`mi yıldızlara bakarak seçtim
,Türkiye denizlerin güzel
,Denizlerinin üzerinden geçtim
,Türkiye şehirlerin güzel
,Türkiye körfezlerinde güzelliği seçtim
,Türkiye tarihi eserlerine hayran kaldım
,Öyle güzelsinki güzel Türkiye
,"Tarihi eserlerinden, rüyalara daldım"
,"Dünya`yı dolaştım,seni seçtim,Türkiye"
,
A- Haydi Türkiye!,
,Vatan aşkıyla
,Haydi Türkiye
,Aynı coşkuyla
,Haydi Türkiye!
,Meydana dolduk
,Beraber güldük
,Tek yürek olduk
,Haydi Türkiye!
,Yüzde yüzümüz
,Türk’tür özümüz
,Güldü gözümüz
,Haydi Türkiye!
,Rakipler şaşkın
,Bitkin düşkün
,Olmasın kuşkun
,Haydi Türkiye!
,cihan yaz
,Kırmızı beyaz
,Tarihi yaz
,Haydi Türkiye!
,Tek tek yıkarsın
,Yalnız varsın
,Üste çıkarsın
,Haydi Türkiye!
,
Ayağa kalkar Türkiye,
,Ayağa kalkar Türkiye
,Kork düşman kork
,Ezan ezan
,Ayağa kalkar Türkiye
,Zincirleri söker Türkiye
,Osman oluruz tanrının Kur'anına
,Kapandık kan damlayan satırına
,Eden bulur... adaletin hatırına
,Gökler ayağa kalkar
,Ayağa kalkar Türkiye
,Göklerle ayağa kalkar Türkiye
,Bayrağı zalime şahince bakan Türkiye
,Kork düşman kork
,Ezan ezan
,Ayağa kalkar Türkiye
,Zincirleri söker Türkiye
,Asır gece
,Yıldız yıldız
,Ayağa kalkar Türkiye
,güneş yakar Türkiye
,Kork düşman kork
,Ezan ezan
,Ayağa kalkar Türkiye
,Zincirleri söker Türkiye
,Gül ecdadın duası var
,Ayağa kalkar Türkiye
,Gülün yası var
,Ayağa kalkar Türkiye
,Gül bebelerin düşü var
,Ayağa kalkar Türkiye
,Ay-yıldızlı bayrağın sevdası var
,Ayağa kalkar Türkiye
,Dağları yerinden söker Türkiye
,Düşmanı denize döker Türkiye
,Asır gece olsun varsın
,Kork düşman kork
,Ayağa kalkar Türkiye
,Bayrak bayrak
,Kork düşman kork
,Kesmem ümidimi
,Ayağa kalkar Türkiye
,Ecdadın gül rüyası var
,Tekbir tekbir kalkar ayağa
,Zulmün karşısına hakkı diker Türkiye
,Duada minik eller
,Duada masum eller
,Duada kutsal eller
,Umudumu yitirmem
,Ayağa kalkar Türkiye
,Yumruk yumruk kalkar ayağa
,Türbe türbe kalkar ayağa
,Dağlar durduramaz yıkar Türkiye
,Asır gece olsun varsın
,Ayağa kalkar Türkiye
,Kork düşman kork
,milletin kökleri çınar ağacı
,Çınar ağacıyım
,Boy atmak hakkım
,Yeşillenir dağı taşı
,Nurlanmış dağların karlı başı
,"Bal olur akar ""dede"" marşı"
,Şaha kalkar Türkiye
,Çocuğuyla dedesiyle kalkar ayağa
,Küfrün bileğini büker Türkiye
,Asır olsun varsın gece
,Ayağa kalkar Türkiye
,Minare minare kalkar ayağa
,Şahin bakışlı dağlar ses verir
,Sakarya derinden söylenen türkiye
,millet Sakarya gür akar
,Sakaryadan kesilir ümit
,Dereler ırmak olur
,Kafir ergeç belasını bulur
,Seller kükrer Türkiye
,Denizleri bez yırtar Türkiye
,Kurşunu karanlığın alnına sıkar Türkiye
,Asır gece
,Uyanmanın zamanı var
,Ayağa kalkar Türkiye
,Kork düşman kork
,Ümidim var doğan yeni günden yeni güneşten
,Beşiklerinde Fatihler var
,İbrahim olan korkar ateşten
,Geçilir anadan eşten...
,Ayağa kalkar Türkiye
,Şehir şehir kalkar ayağa Türkiye
,Gök kubbeyi zalimin tepesine yıkar Türkiye
,Asır gece
,Varsın olsun
,Ayağa kalkar Türkiye
,Kork zalim kork
,Asır olsun varsın gece
,milletin tarihi gök mavisi
,Gökler ayağa kalkar
,Gül kokulu yatırına
,Ezanların hatırına
,Cennet olur vatan
,Gökler ayağa kalkar
,Ayağa kalkar Türkiye
,Dağ dağ ayağa kalkar Türkiye
,Dağ dağ zafere yürür Türkiye
,Titrer düşman dağları yıkar Türkiye
,Kork düşman kork
,Ezan ezan
,Ayağa kalkar Türkiye
,Zincirleri söker Türkiye
,Asır gece olsun varsın
,Ayağa kalkar Türkiye
,Dağları zalime şahince bakan Türkiye
,Kork hain kork
,
Seviyorum SeNi TÜrkiyem,
,SEVİYORUM SENİ TÜRKİYE’M
,Seviyorum Irmağını Çay’ını
,Seviyorum Dağ’ını Yamacını
,Seviyorum kısrağını tayını
,Toprağını Seviyorum Türkiye’m
,Bayrağının yoktur Cihanda eşi
,Atatürk’tür Vatanın güneşi
,tuttu eşi dostu kardeşi
,Mustafa’nı seviyorum Türkiye’m
,Ayırmadı Laz’ı Pomak’ı Kürdü
,Kurtuluşta hep birlikte yürüdü
,Sünni’si Alevi’si oldu
,vatanı kuran Türkiye’m
,Omuz verip herkes koştu cepheye
,Setler çekti yobazlığa kahpeye
,Yalandan birlikte çıktık gerçeğe
,Kemalini seviyorum Türkiye’m
,Emanet etti Askere Sancağı
,Hediyedir milletine Bayrağı
,Vatan! Gerçek yiğitler Ocağı
,taşına kurbanım Türkiye’m
,Seviyorum seni kopamam senden
,Bölmek ister Hain seni içerden
,Korkumuz yok ölüm kefenden
,Atamdan emanetsin Türkiye’m
,
Bu Vatan Türkiye yi sevenin Vatanı.,
,"Çikarsın dağlara kurarsın pusu,"
,"Boşuna kendine verirsin susu,"
,"İninde vurur seni Türk ordusu,"
,Vatan Türkiye yi sevenin Vatanı
,"İçinde hep kin düşmanlık sokmuşlar,"
,"Seni dağa sürenler hep korkmuşlar,"
,"Zorzamanda yanınızda yokmuşlar,"
,Vatan Türkiye yi sevenin Vatanı.
,"Türk Askeri Vatan Kahramanidir,"
,"Akan kanlar Şehidimin kanıdır,"
,"Kalleşçe kurşun sıkan canıdır,"
,Vatan Türkiye yi sevenin Vatanı
,"Ata'larımdan kalmış Türk Vatanı,"
,"Bilki cephededir şehit yatanı,"
,"Kaçış yolu yok Ülkeyi satanı,"
,Vatan Türkiye yi sevenin Vatanı.
,"Kırıldı dalın Kurudu bedenin,"
,Bilki ahı tutmuş sana dedenin.
,"Teslim ol kaçacak yerin yok senin,"
,Vatan Türkiye yi sevenin Vatanı
,"Türk Ordusu bütündür parçalanmaz,"
,"ölür bin dirilir hiç usanmaz,"
,"Şehitlerimin kanı yerde kalmaz,"
,Vatan Türkiye yi sevenin Vatanı.
,"Bombalar üstünüze patladıkça,"
,"Ay yıldızlı Bayrağım sallandıkça,"
,"Türk Askerim coşarak şahlandıkça,"
,Vatan Türkiye yi sevenin Vatanı..
,"Vatan ölen Şehitlerimiz,"
,"Yürekler acılı annelerimiz,"
,"Kol kanat olduk size hepimiz,"
,Vatan Türkiye yi sevenin Vatanı.
,"Şehidimin yeri Cennet olsun,"
,"Kurşun sıkanların ocağı sonsun,"
,"Ebeveyine Allah sabır versin,"
,vatan Türkiye yi sevenin Vatanı.
,08/08/2009
,
Sonsuza Dek Var Olmak,
,Eski Türkiye
,Yeni Türkiye
,Adı altında
,Asla
,Hiç kimsenin
,Özel nosyonu
,Olamaz
,Dünyada
,Tüm dünyanın tanıdığı
,Laik Türkiye Cumhuriyeti
,80 Milyonluk halkıyla
,Vardır
,
,Sonsuza dek
,Var olacaktır
,
Sevdamızdır Türkiye,
,Beklenen an geldi
,güç zorluğu deldi
,Eylülde çıktığını
,Bütün Türkiye bildi
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,Yepyeni gazete
,Ruha yazar reçete
,Huzur mutluluğu
,Verecektir millete
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,Mektuptaki yazı
,Söylenenlerin azı
,İyice okunursa
,İçten atılır sızı
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,özlemle bekledik
,günler tekledik
,Saatler kuruluydu
,Günü güne ekledik
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,nihayet kavuştuk
,Volkanlar taştık
,El birliği içinde
,Bütün surları aştık
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,Coştu yurdun yanı
,Sevindiriyor canı
,Oku öğren bilgi kap
,Hiç boş geçirme anı
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,Etkili geldi yeli
,Uzansın şefkat eli
,Sesime kulak versin
,Köy belde ilçe ili
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,Dili kulağı gözü
,Sağlamdır bütün sözü
,Beni iyi dinleyin
,yana döndür yüzü
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,Beş katlı modern bina
,Hitap edecek bana
,Okuyun satır satır
,Huzur verecek cana
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,sabah taze haber
,Muhakkak edecek yer
,Hasan Sancak söyleyen
,gücünü güce ver
,Sevdamızdır Türkiye
,Yeniçağ’ı hediye
,
Şâha Kalkan Türkiye,
,ŞÂHA KALKAN TÜRKİYE
,"Kene yapışan, İMF kapı dışı"
,"Yardım alan değil de, yardım eden Türkiye."
,"Yurt içinde, dışında, “kimsesizin kimsesi”"
,"Yardım alan değil de, yardım eden Türkiye."
,"Öze dönme başladı, kıyâfette, kılıkta"
,"Tefrikadan uzak dur, hareket et birlikte"
,"“Olmazı olur” etti, eğitimde, sağlıkta"
,"Yardım alan değil de, yardım eden Türkiye."
,"Devleti, hazineyi, çarçur edip saçmayan"
,"Halkın kutsal bildiği, değerlerden kaçmayan"
,"Baraj, yol yapmak için, ele avuç açmayan"
,"Yardım alan değil de, yardım eden Türkiye."
,"Yerilmesi gereken, şeyleri yeremezken"
,"Dikenin çokluğundan, öz gülün deremezken"
,"Sürdüğü memuruna, “harcırah” veremezken"
,"Yardım alan değil de, yardım eden Türkiye."
,"İnşaatlar ortada, çoğaldı yazlık, kışlık"
,"Markasızsa satılmaz, içlik, dışlık"
,"Kısa süre içinde, nasıl gelişmişlik?"
,"Yardım alan değil de, yardım eden Türkiye."
,"insanı, fırttırdılar fırttı"
