title,poem_cleaned
Hey Ağalar Zaman Azdı,
,Hey ağalar zaman azdı
,Düşmüşe il üşer oldu
,Küllükte sürünen eşek
,Cins atla yarışır oldu
,Palas üstünde yatmıyan
,Bıyığ'na pala batmıyan
,Porsuk ardından yetmiyen
,Ceylana ulaşır oldu
,Evlerinin önü tazı
,Yazılır turnası kazı
,Yaşına yetmedik kuzu
,Koç vuruşur oldu
,Gevheri der işle hata
,Katırlar baskındır ata
,Olur olmaz maslahata
,Çocuklar karışır oldu
,
Evvel Zaman,
,Asardın okulu sabah
,"aşıktın zamanlar,"
,Geceleri sokak sokak gezerdin
,"Ellerin ceplerinde, yıldızları sayarak....................."
,
Koşan Zaman,
,Önemsiz demeyin.
,Hafiften esen yel
,Önemsiz değil.
,Zaman yaklaşsa
,"Unutmam sizi, düşte"
,Sonsuz anımsayıştır yaşamak.
,"Ah, elbet yaşamak! Yaşamak!"
,"Bunu derken, an"
,Suya iniyor suna
,"Aşktır, çoğalıyor yeryüzünde."
,tay koşuyor zaman
,Yaşanıyor işte.
,
Yollar ve Zaman,
,yalnızlığı koşup gittin
,"yerde buluşulur diye, belki de..."
,"elbet buluşulur, orda, yerde..."
,hüzün töreniyle kutlanır
,bulu....................
,
Az Yaşadıksa da,
,kibriti çaktığım zaman
,Hersey kırmızıydı yüzün olarak
,kibriti çaktığım zaman
,yüz....................
,
Aynalar ve Zaman,
,erguvanlar geçip gittiler bahçelerden
,geriye erguvanlar kaldı
,şair! bahçelere özenecek vardı?
,"işte tenhâ yanımız, hep tenhâ"
,aradık sözcüklerin kuytularında
,n....................
,
Güller elde solar,
,Gül dediğin elde solar
,Dalından koptuğu zaman
,Gönül kuştur elbet konar
,Gül çiçek açtığı zaman
,Aç zaman aç zaman
,Gül çiçek açtığı zaman
,Gönül kuştur gelir konar
,Gül yaprak açtığı zaman
,Azgın sular bendi yarar
,Dereler coştuğu zaman
,Dost olan dostunu arar
,Can dara düştüğü zaman
,Düş zaman düş zaman
,Can dara düştüğü zaman
,Dost olan dostunu arar
,Can zora düştüğü zaman
,Seven sırra nail olur
,Gerçeği duyduğu zaman
,Gerçek seven arar bulur
,Seven yar olduğu zaman
,Yar zaman yar zaman
,Özge yar olduğu zaman
,Gerçek seven arar bulur
,Seven yar olduğu zaman.
,Parçalı Bulutlu Şiirler
,
"Zaman, ne zaman",
,"Zaman zaman..? Zaman zaman,"
,Meçhule doğru gider zaman
,Hayatı mundar eder zaman?
,Zaman zaman..? Zaman zaman
,"Ahir ömrümü yer, yer zaman"
,Vurur boynumu eyer zaman….
,"Zaman zaman..? Zaman zaman,"
,Azgın deryada yüzer zaman
,Benliği alır ezer zaman…
,"Zaman zaman..? Zaman zaman,"
,Ruhumu delip geçer zaman
,Ömrümü nasıl biçer zaman?
,"Zaman zaman..? Zaman zaman,"
,Hep eksende döner zaman
,"Yaktıkça yakar, söner zaman"
,"Zaman zaman..? Zaman zaman,"
,Neden mazide gezer zaman?
,Söyleyin neye benzer zaman
,"Zaman zaman..? Zaman zaman,"
,İmalı gözle süzer zaman
,Neden geçince üzer zaman?
,"Zaman zaman..? Zaman zaman,"
,Çobanı güder zaman
,Alınlarda kader zaman
,"Zaman zaman..? Zaman zaman,"
,Borcunu canla öder zaman…
,"Geçince olur, heder zaman"
,"Zaman zaman..? Zaman zaman,"
,Gitmesi gerek zaman
,‘’Ben gidiyorum ‘’ Der zaman
,
Zaman Gibi Zaman,
,Zaman çocuk
,"Kimi zaman uslu, kimi zaman haylaz huysuz."
,Zaman kadın
,"Kimi zaman tatlı, kimi zaman tatsız tuzsuz."
,Zaman erkek
,"Kimi zaman ağa, kimi zaman züğürt çulsuz."
,Zaman yaşlı
,"Kimi zaman hayat dolu, kimi zaman ruhsuz."
,Zaman insan
,"Kimi zaman çivi, kimi zaman kırılgan tuz buz…"
,S.Güler-10.2.2014
,
Gel zaman git zaman,
,Çevreyi çevirdim
,Feleği devirdim
,Gel zaman git zaman
,Yaşamı eğirdim
,Dünya duruyor
,dönüyor
,Gel zaman git zaman
,Ömür bitiyor
,Düşümde düşlerim
,Ağlarken gülüşlerim
,Gel zaman git zaman
,Ömür tüketişlerim
,zaman bana
,İki zaman ona
,Gel zaman git zaman
,Hasret bakışlarıma
,hayal kurdum
,Selamıma durdum
,Gel zaman git zaman
,Hatalarımdı kurdum
,06.11.2010 - İzmir
,
Bir nefes...,
,nefes…
,"Kimi zaman uzun,"
,"Kimi zaman kısa,"
,"Kimi zaman hızlı,"
,Kimi zaman kesikli...
,"yaşamdır adı,"
,"Anlattıkça çıkar tadı,"
,"Sığmaz kitaplara satırlara,"
,"nefes,bir hayat işte…"
,"Kimi zaman sessiz,"
,"Kimi zaman çağlayan,"
,"Kimi zaman kahkaha,"
,"Kimi zaman gözyaşı,"
,"hayattır adı,"
,"Yaşandıkça çıkar tadı,"
,"Yaşanmazsa olur acı hatıra,"
,"nefes, hayat işte…"
,"Kimi zaman hayat,"
,"Kimi zaman öpücük,"
,"Kimi zaman çağrı,"
,"Kimi zaman veda,"
,"mutluluktur adı,"
,"Geldi,gördü, gitti yaşadı,"
,"Doğumla başladı,sela bitti,"
,"nefes,bir hayat işte…"
,"Kimi zaman doğru,"
,"Kimi zaman yalan,"
,"Kimi zaman şarkı,"
,"Kimi zaman hıçkırık,"
,"Noktalar bütünüdür adı,"
,"Notalar şiirler onu anladı,"
,"Bazen engebeli,bazen doğru gitti,"
,nefes hayat işte…
,"Kimi zaman heyecanlı,"
,"Kimi zaman neşeli,"
,"Kimi zaman isteksiz,"
,"Kimi zaman belirsiz,"
,"Acı,tatlı,ekşi tuzlu,"
,"Sıcak soğuk karlı yağmurlu,"
,"nefes,bir hayat işte…"
,"Topu topu, hepsi nefes…"
,www.erkaninay.net /kulkapısı nda flaşını izleyebilirsiniz…
,
Zaman Akıyor,
,Zaman akıyor zaman;
,"Dere, çağlayan gibi!"
,Zaman akıyor zamam;
,Beşere isyan gibi!
,Zaman akıyor zaman;
,Yaşanan perde perde!
,Zaman akıyor zaman;
,Dün olan bugün nerde!
,Zaman akıyor zaman;
,Yıllık yol saat oldu!
,Zaman akıyor zaman;
,Atmışta vaat doldu!
,Zaman akıyor zaman;
,Koş yetişen olmuyor!
,Zaman akıyor zaman;
,Çalış heyben dolmuyor!
,Zaman akıyor zaman;
,Sardı seni telaş!
,Zaman akıyor zaman;
,Bak önün kabir ulaş!
,01.04.2012 23:26 /Soma
,.....................................Usta Kalemlerden
,.....................................Teşekkürler
,"Zaman aldı götürdü,"
,"yolun sonuna,"
,"Kim bizi yolcu etti,"
,gidişin yoluna?
,....................................Bedri Tahir Adaklı
,Zaman akıyor zaman
,Düne gücüm yetmiyor
,zaman akıyor zaman
,Ömür gün etmiyor..
,....................................Hasan Öz
,Zaman akıyor zaman.
,Dinlenmeye yok aman.
,Zaman akıyor zaman.
,Şükür hazırlık tamam
,....................................Ahmet Coşkun
,Daha dün gelmişim sanki
,Nasıldı anlamadımki
,Ömrü zannetmişim baki
,Ah zaman akıyor zaman
,………………………Osman NURANİ-25/04/2012
,"zaman akıyor zaman,"
,"körlenmeli nefisler,"
,"zaman akıyor zaman,"
,kaydedilir nefesler...
,....................................Fikret İnceoğlu
,
Şiirlerim..,
,Suskunluğumun eseridir cümlelerim
,şeyi içime atmanın mükafatıdır
,Satırlar dolusu imgelerim
,Kalemimden pervasızca dökülen
,Şiirlerim
,"Kimi zaman serzeniş, sesleniş"
,"Kimi zaman haykırış, yakarış"
,Kimi zaman gözden akan birkaç damla yaş
,Kimi zaman şarkı nağmesi uysal
,Şiirlerim
,Yazmış olmak yazmak değil niyetim
,pencere açabilmek kendimden
,Dünyaya diğer insanlara
,Evet varım! diye haykırışımdır
,Şiirlerim
,Kimi zaman asi isyankar
,Kimi zaman keskin yıkıcı
,Kimi zaman duygulu narin
,Kimi zaman derin yoğun
,Şiirlerim
,Yüzümden gitmek bilmeyen
,Gülümseyişimin ardına saklanmış
,Tüm düşüncelerimin aynası
,"Satırlar dolusu kokan, gerçek olan"
,Şiirlerim
,"Kimi zaman düş, gerçek"
,"Kimi zaman aldanış, aldatış"
,"Kimi zaman aşk, nefret"
,"Kimi zaman ben,"
,Şiirlerim
,"Bin tezat içinde, insanların yanılsamasından uzak"
,Onlara istediklerini veren ben’in dışında
,"Etten, kemikten, sinirden kandan sıyrılmış gerçek ben’in"
,Tüm çıplaklığı var oluşudur
,Şiirlerim
,Kimi zaman sığ yetersiz
,Kimi zaman ham gösterişsiz
,Kimi zaman nahoş sevimsiz
,Kimi zaman yalnız yitik
,Şiirlerim
,Gerçekliğin içinde insanların tanıdığı ben’den uzak
,Güçlü mağrur aksimin ötesinde
,"Zayıf, kırılgan, güçsüz naif"
,Savunmasız en gerçek halimdir
,Şiirlerim
,Kimi zaman kelimelerin maskeli balosu
,Kimi zaman ben’im benle olan ürkek flörtüm
,"Kimi zaman benden öte, benden uzak"
,Kimi zaman bana benden daha yakın
,Şiirlerim
,
Arzuhal,
,Perişanım çaresizim inan
,"Beklerim değişmez dünkü, günkü"
,Haftada altı gün Mecnun'um sanki
,Zaman zaman Leyl'oluyom nazlı yar
,Baharı bekleyen çiçek gül
,Yeşerirken kırılan dal
,Çoğukez dut yemiş bülbül
,Zaman zaman böyl'oluyom nazlı yar
,Mukaddestir ölmeyecek sevgimiz
,Yapılmadan yıkılsa yapımız
,Bardakta dururken su temiz
,Zaman zaman sel oluyom nazlı yar
,Haksıza 'dur' deyip vuran olmamış
,Amaca sağlamca varan olmamış
,Beni akıllıca gören olmamış
,Zaman zaman del'oluyom nazlı yar
,Yeleni der; aşka düştüm yeniden
,Haz duyarım elem veren sevgiden
,Kor ateşken sönüp yeniden
,zaman zaman kül oluyom nazlı yar
,
Zaman,
,"Zaman zaman, zamansız kalınır zamanımızda"
,"zaman, zaman kazanmak harcanır zamansızca"
,"zaman, zaman zamana zaman tanır"
,"Ne, zaman, zamansızca girer zamanımıza"
,Zaman zaman oturup zamanını beklerim
,zamanlar düşlerim; zamanlara
,"Hep zaman veririm, gelecek zamanlara;"
,Zamansızca sandığım zamanlar gelir; zamanında!
,
Ben sevdiğim zaman,
,sevdiğim zaman
,Yeri göğü görmem
,sevdiğim zaman
,Kendimi dahi görmem
,Volkan misali patlarım
,sevdiğim zaman
,Seller sular çağlarım
,sevdiğim zaman
,sevdiğim zaman
,Canım candan geçerim
,sevdiğim zaman
,Yanarım ağlarım eririm
,Kanarım cananım kanarım
,sevdiğim zaman
,Koşarım coşarım canım
,sevdiğim zaman
,sevdiğim zaman
,Çıldırırım deliririm
,sevdiğim zaman
,Kendimden geçerim
,Gül olur bülbül olurum
,sevdiğim zaman
,Yorulurum yorulurum
,sevdiğim zaman
,
Aklım Hercümerç Olur,
,AKLIM HERCÜMERÇ OLUR
,Yüreğimi sevgine verdiğim zaman
,Özlemlerle resmini öptüğüm zaman
,Kederinden sigara içtiğim zaman
,Aklım hercümerç olur siye yanarım...
,Sırtımı duvarlara astığım zaman
,Masumca yollarına baktığım zaman
,Sazımla ağıtları çaldığım zaman
,Aklım hercümerç olur siye yanarım...
,Hicranınla voltaya çıktığım zaman
,Ateşimle maltayı yaktığım zaman
,Disiplini dosyama taktığım zaman
,Aklım hercümerç olur siye yanarım...
,Geceleri yatağa yattığım zaman
,Uzun - uzun hasrete çattığım zaman
,Sensizliği mahpusla tattığım zaman
,Aklım hercümerç olur siye yanarım...
,Düşlerime davetsiz girdiğin zaman
,Ellerini nispetsiz verdiğin zaman
,Vakitsizce minnetsiz gittiğin zaman
,Aklım hercümerç olur siye yanarım...
,Hasretinle rüyadan çıktığım zaman
,Etrafıma öfkeyle baktığım zaman
,Anlımda talihe yandığım zaman
,Aklım hercümerç olur siye yanarım...
,Lokman HAMİTOĞLU
,
Birazcık zaman,
,“zaman birazcık zaman”
,anlamak
,belki çoğu zaman
,anlaşılmak
,gülmek
,belki çoğu zaman
,gülebilmek
,düşünmek
,belki çoğu zaman
,düşünülmek
,yanıtlar
,belki çoğu zaman
,yanıtlamak
,dinlemek
,belki çoğu zaman
,dinlenmek
,susmak
,belki çoğu zaman
,konuşmak
,söylemek
,belki çoğu zaman
,söyleyebilmek
,sevmek
,bekli çoğu zaman
,sevilmek
,şiir
,belki çoğu zaman
,kelime
,“zaman birazcık zaman”
,Bursa 2000
,
Boş zaman yok boşa geçen zaman var,
,"Boş zamanım diye hayıflanma,"
,Boş zaman yok boşa geçen zaman var.
,"Daha zaman var diye keyiflenme,"
,Boş zaman yok boşa geçen zaman var.
,"Boşa geçen zamanı zannetme ker,"
,Zaman gelsin şeyi yaparım der.
,"Boşuna geçen zaman ömürden yer,"
,Boş zaman yok boşa geçen zaman var.
,"Zaman insana çelme atar yutma,"
,Zamanla hayatı sakın tutma.
,"Zaman ömür biter unutma,"
,Boş zaman yok boşa geçen zaman var.
,"gün insanların çoğu riyada,"
,Ömür bitmiş insan rüyada.
,Boş zamanın hükmü var dünyada?
,Boş zaman yok boşa geçen zaman var.
,"Yusuf insanları hakir görmeyin,"
,Zamana bakıp günaha girmeyin.
,"Zamanınızı boşa geçirmeyin,"
,Boş zaman yok boşa geçen zaman var.
,
(GÜLCE-Yunusca) Zaman Zaman İçinde,
,Zaman Zaman İçinde (Yunusca)
,"ararsan var zamanda,"
,"Görür insan tüm yaşamda,"
,"sabahta akşamda,"
,Zaman zaman içinde.
,"Ömür biter zaman bitmez,"
,"Durdurmaya takat yetmez,"
,"Gece gündüz hiç farketmez,"
,Zaman zaman içinde.
,"Zaman bitmez hazine,"
,"Perde iner nur gözüne,"
,"Gölge vurur gül yüzüne,"
,Zaman zaman içinde.
,"Can meleği durmaz gezer,"
,"Kabuğundan canı süzer,"
,"Alır gider gönül üzer,"
,Zaman zaman içinde.
,Ali GÖZÜTOK
,10 OCAK 2009
,
Coşacaktır,
,"Sözümüz yerine geldiği zaman,"
,"Vuslatımız sona erdiği zaman,"
,"Yâr gelin olup ta geldiği zaman,"
,Coşacaktır selimiz bizim.
,"Ozanlar sazını çaldığı zaman,"
,"Gönüller güzeli bulduğu zaman,"
,"Mevsim bahara erdiği zaman,"
,Coşacaktır telimiz bizim.
,"Karanlığa nurlar dolduğu zaman,"
,"Gönül gözlerimiz gördüğü zaman,"
,"Yaşımız kemâle erdiği zaman,"
,Coşacaktır dilimiz bizim.
,
Zaman  Zaman,
,Bellidir adresim bulmak istersen (24.07.2012)
,Gönül aynasından bak zaman zaman
,Hissedip aşkımı bilmek istersen
,Aşkın deryasından ak zaman zaman
,Yabancı değilim sahraya çöle
,Mecnuna kereme ateşe küle
,Seher vakti esen serin yele
,Duyarsın sesimi çık zaman zaman
,Süzülmüş tülbentten inceden ince
,Fark etmez demim gündüz ha gece
,Çözülmez sırrım sırra gelince
,Kadem perdesini tak zaman zaman
,Yıldırımım doldu geçiyor süre
,Bastın yollara yüzünü süre
,Bundan sonra nasıl sefalar süre
,Gönül nikabını yak zaman zaman
,
Hayat Masal Değil mi?,
,"Masal anlatılması,"
,"Zamanın başlaması,"
,Hayat masal değil mi?
,Mezarlardır aynası..
,"Zaman beş karış gibi,"
,"Varla yokun arası,"
,"Zaman hiç yokmuş gibi,"
,Resimlerden sonrası..
,"Yaşıyoruz gidiyor zaman,"
,"Koşuyoruz bitiyor zaman,"
,"Çalışmak,yaşamak derken,"
,Sonsuza uçuyor zaman.
,Nereye gitti zaman?
,Yürüdüm bitti zaman.
,"Yoruldum durdu zaman,"
,Düşündüm! Benle zaman..
,
Bazen,
,Bazen sabırdır
,Bazen yetkin şiirdir sevda
,Bazen kavgadır
,Bazen çözülmez yumaktır sevda
,Kimi zaman ölümdür
,"Kimi zaman servettir tadı, sevdanın"
,Kimi zaman ayrılıktır
,Kimi zaman dönüşsüz yoldur sevda
,zaman vazgeçmektir
,"zaman yitiktir anlar, sevda"
,zaman özleyiştir
,"zaman deliktir saatler, sevda"
,Oysa gönül
,"Baz enleri, kimi zamanları red eder"
,zaman vardır
,hiçbir zaman
,bende hep vardın
,zaman
,
Zamanın neresindeyim,
,çocukluğumun hayallerindeyim
,Delice sevdanın izdüşümündeyim
,Seninle yaşadıığım günlerin peşindeyim
,Bilmem zamanın neresindeyim
,Ah be canım cananım
,Zaman durgun zaman vurgun
,Zaman sessiz zaman sensiz
,Geçip gitmiyor artık
,şiir okusam sevda üzerine yazılan
,Birtürkü dinlesem hecede seni anlatan
,Gözlerimden yaş yerine akar damla damla sevdam
,Bilmem şimdi zamanın neresindeyim
,Ah be canım cananım
,Zaman durgun zaman vurgun
,Zaman sessiz zaman sensiz
,Geçip gitmiyor artık
,Gül dalındaki gonca olmayıca açmıyor
,Açsa senin tenin kokmuyor
,Özlemin buram buram burnumda tütüyor
,Bilmem şimdi zamanın neresindeyim
,Ah be canım cananım
,Zaman durgun zaman vurgun
,Zaman sessiz zaman sensiz
,Geçip gitmiyor artık
,Dün hatırlarım elele tutuştuğumuz bahçeleri
,Dün hatırlarım göz göze geldiğimiz yerleri
,Gözyaşı dökerken anarım yaşadığımız günleri
,Bilmem şimdi zamanın neresindeyim
,Ah be canım cananım
,Zaman durgun zaman vurgun
,Zaman sessiz zaman sensiz
,Geçip gitmiyor artık
,Rüzgarda özgürce uçuşurdu saçların
,Bana zamanı unuttururdu bakışların
,Şimdi hayal oldu seninle yaşadıklarım
,Bilmem şimdi zamanın neresindeyim
,Ah be canım cananım
,Zaman durgun zaman vurgun
,Zaman sessiz zaman sensiz
,Geçip gitmiyor artık
,Zaman geçmez oldu sensiz gecelerde
,Beklerim seni saatin tık sesinde
,Gündüz hayalimsin gece düşüm
,Bilmem şimdi zamanın neresindeyim
,Ah be canım cananım
,Zaman durgun zaman vurgun
,Zaman sessiz zaman sensiz
,Geçip gitmiyor artık
,Artık benim güneş doğmuyor
,Gündüzler olmayınca gece oluyor
,Özlemim yıldızlar soluyor
,Bilmem şimdi zamanın neresindeyim
,Ah be canım cananım
,Zaman durgun zaman vurgun
,Zaman sessiz zaman sensiz
,Geçip gitmiyor artık
,Artık kesmiyor beni boşalan kadehler
,Zehir oldu sensiz yaşadığım günler
,Yokluğun beni bilinmeze sürükler
,Bilmem şimdi zamanın neresindeyim
,Ah be canım cananım
,Zaman durgun zaman vurgun
,Zaman sessiz zaman sensiz
,Geçip gitmiyor artık
,ALİ EKBER ÇELİK
,15.10.2009
,
Zaman,
,"Zaman, girdaba kapılmış söğüt dalı,"
,"Zaman, yelkovana yetişmeye çalışan akrebin heyecanı."
,"Zaman, Rengi solmuş gök kuşağını boyamak anı,"
,"Zaman, unutulmuş yalnız ağaç, beyaza hasret karaçalı."
,"Zaman, Martı gagasında çırpınan balığın çaresizliği,"
,"Zaman, çatlayan mermerde açığa çıkan gizli benlik,"
,"Zaman, yağmur suyunun yıkadığı dağ gelinciği."
,"Zaman, ömrü ocağında kaynatan demlik,"
,"Zaman, inadına saçıma düşen kar taneleri,"
,zaman;
,Tükenmek üzere olan ömrümün dinlediği son nağmeleri...
,Ş.Urfa / Birecik – 14 Şubat 1997
,
Oldu.,
,Kocalar karı oldu
,Karılar koca oldu
,Gelince ahir zaman
,cahiller hoca oldu.
,Zalimler mazlum oldu
,masumlar zalim oldu
,Gelince ahir zaman
,ortalık fitne doldu.
,kötüler iyi oldu
,iyiler kötü oldu
,Gelince ahir zaman
,olanlar bize oldu.
,İslamiyet tek yoldu
,Yanlış kol koldu
,Gelince ahir zaman
,Korkaklar cesur oldu.
,21.10.2014
,hasan muslu
,
Bu Zaman Öyle,
,Almış yürümüş ihanet
,zaman öyle zaman
,İnsan insana muhanet
,zaman öyle zaman
,Sözlerimin yalanı
,Kadir kıymet bileni
,Selam versem alanı
,zaman öyle zaman
,Rağbet yok dine imana
,Sığınsam hangi limana
,Yobaz diyor müslümana
,zaman öyle zaman
,Dişliyor dişli dişsizi
,Eziyor güçlü güçsüzü
,Aç bırakıyor işsizi
,zaman böyle yaman
,Hani söz var taman
,Düşersen vururlar yaman
,Yalçınım düşme kalkaman
,zaman böyle yaman
,
Ne Zaman Ki O Zaman,
,"Hangi mevsim, kaç bahar,"
,"Kaç gonca çiçeği, kaç kanadı kırık kelebek,"
,"Yaralı, yerde üşüyen kaç tohum, kaç zerre?"
,zaman hayat bulacak?
,"zaman zaman ki,"
,Gölgelik…
,"Kırgın kar tanesi,"
,"Kefeni giymiş âlem,"
,"Solgun demet, meyvesiz kalmış ağaç,"
,"Uçurum kenarına sürülmüş güvercin,"
,zaman özgür olacak?
,"zaman zaman ki,"
,Yitik…
,"Dal rüzgârsız, umut ışığı mat,"
,"Turnalar uçmuyor artık,"
,"Gül küsmüş açmıyor yapraklarını,"
,zaman umut yeşerecek?
,"zaman zaman ki,"
,Solgun…
,"Su sesi dağdağalı, yorgun damlalar,"
,"Makinelerin kolu bozuk dönmüyor zamanın çarkı,"
,zaman akacak pınar?
,"zaman zaman ki,"
,Çalınmış…
,"Gölgeli, yitik, solgun, çalınmış hayaller"
,zaman gerçekleşecek?
,"zaman zaman ki,"
,Yoksun…
,
Kimi Zaman,
,"şiirin dizelerinde buldum seni,"
,"şarkının sözlerinde kimi zaman,"
,"Kimi zaman uykumun ortasında buluştum,"
,Kimi zaman albümün sayfalarında.
,"An geldi kalabalık içinde,"
,"Bazen boş yağmurlu sokaklarda,"
,"Kimi zaman güneşin gölgesinde,"
,Kimi zaman rüzgarın sesinde.
,"Saatlerle anlaştım seni düşünmek için,"
,"Dakikalarla savaştım görmek an,"
,"Saniyelerle yetinmeyi öğrendim zaman geldi,"
,"Aşkının ağırlığında ezildim,zaman zaman."
,
Bir Baba.. Aşık Değil ama!,
,beni hiçbir zaman
,sevmedin
,sevemedin
,kar yağarken
,masum değildin
,beyaz yalanlarınla kandırdın
,beni hiçbir zaman
,sevmedin
,sevemedin
,oysa seni hiçbir zaman
,sevmeden edemedim
,öylesine yazdım kalbime
,seni hiçbir zaman
,içimden söküp atamadım
,beni hiçbir zaman
,sevmedin
,sevemedin
,yanıbaşımda benden çook uzaktın
,yapayalnız bıraktın beni
,beni hiçbir zaman
,sevmedin
,sevemedin
,oysa seni hiçbir zaman
,sevmeden edemedim
,"ateş gibi, su muhtaç değildim"
,biliyorum olmadan yaşardım
,seni hiçbir zaman
,düşümden ayırmadım
,beni hiçbir zaman
,sevmedin
,sevemedin
,maskeli baloda tanıdım seni
,boyalarla örtmüştün nefretini
,sevgi perdesi aralandığında
,ortaya çıkmıştı gerçek yüzün
,beni hiçbir zaman
,sevmedin
,sevemedin
,oysa seni hiçbir zaman
,sevmeden edemedim
,gece gözlerine baktığımda gördüm ihaneti
,perdeler çoktan aralanmıştı
,sensizliğe dayanamadığımdan
,yalanla uyumayı seçtim
,koynumda yılan besledim
,seni hiçbir zaman
,sevmeden edemedim
,beni hiçbir zaman
,sevmedin
,sevemedin
,yanında olmamı istedin
,çocuklarının babasıydım
,baba.. aşık değil
,beni hiçbir zaman
,sevmedin
,sevemedin…
,
Akraba İlişkileri!,
,"Değer vermez kimseye, kendi işine bakar"
,İşi düştüğü zaman akrabayı hatırlar
,"Keser irtibatını, zaman su akar"
